fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_macro_f1,val_stone_accuracy,val_stone_macro_f1,val_stone_f1_CaOx,val_stone_f1_CHP,val_stone_f1_UA,val_stone_f1_MAP,val_stone_f1_CYS,seconds
1,frozen,0,0,1.615053556978512,0.3753993610223642,1.5602331991437115,0.189873417721519,0.19679881521986786,0.18867924528301888,0.19857142857142857,0.0,0.25,0.26666666666666666,0.19047619047619047,0.2857142857142857,94.0
1,frozen,1,1,1.5156178455383251,0.33706070287539935,1.5136317573016203,0.5253164556962026,0.45341676847201484,0.5283018867924528,0.4106122448979591,0.6530612244897959,0.5,0.25,0.4,0.25,94.3
1,frozen,2,2,1.4340323026949606,0.4712460063897764,1.4754997340938714,0.45569620253164556,0.3733210231745896,0.4339622641509434,0.31755651755651754,0.6296296296296297,0.19047619047619047,0.18181818181818182,0.2222222222222222,0.36363636363636365,94.3
1,frozen,3,3,1.4068906063469835,0.4504792332268371,1.4535072408144987,0.36075949367088606,0.3188077998422826,0.3584905660377358,0.29073015873015867,0.5714285714285714,0.3,0.16,0.2222222222222222,0.2,94.3
1,frozen,4,4,1.3339308511715728,0.44568690095846647,1.4090312553357474,0.5189873417721519,0.44091204500588044,0.5849056603773585,0.509251700680272,0.6938775510204082,0.5,0.2857142857142857,0.4,0.6666666666666666,94.6
1,finetune,5,0,1.2326743191423508,0.45686900958466453,1.3142487021941174,0.5506329113924051,0.42844841315605936,0.5660377358490566,0.42329093173184534,0.7547169811320755,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.631578947368421,95.2
1,finetune,6,1,0.9613393590853999,0.5718849840255591,1.2053996475437019,0.44936708860759494,0.3712713845097653,0.5283018867924528,0.45294117647058824,0.7450980392156863,0.0,0.5,0.35294117647058826,0.6666666666666666,95.5
1,finetune,7,2,0.705227904426404,0.6837060702875399,1.175973065291779,0.5506329113924051,0.494401913875598,0.5849056603773585,0.543179936006023,0.7083333333333334,0.34782608695652173,0.5454545454545454,0.4,0.7142857142857143,96.1
1,finetune,8,3,0.5924812410586178,0.7172523961661342,1.0437523911270914,0.5443037974683544,0.5239154091227457,0.6415094339622641,0.6031717171717171,0.7555555555555555,0.48,0.6666666666666666,0.36363636363636365,0.75,95.1
1,finetune,9,4,0.5105902554508978,0.7460063897763578,1.3928311248368854,0.6582278481012658,0.6024291990173148,0.6415094339622641,0.6176100628930817,0.7547169811320755,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334,95.1
1,finetune,10,5,0.4326983194191235,0.7587859424920128,1.37459021731268,0.6139240506329114,0.5169841269841269,0.6226415094339622,0.528923194206213,0.7547169811320755,0.5,0.5454545454545454,0.4,0.4444444444444444,95.6
1,finetune,11,6,0.45713101227443437,0.7811501597444089,1.234717711617675,0.6139240506329114,0.5620792482578999,0.6415094339622641,0.5580997599430779,0.7755102040816326,0.5806451612903226,0.5454545454545454,0.6666666666666666,0.2222222222222222,95.0
1,finetune,12,7,0.32774245101042065,0.8370607028753994,1.2380170112923732,0.6645569620253164,0.6185495811951172,0.660377358490566,0.6576719576719576,0.7407407407407407,0.4166666666666667,0.75,0.6666666666666666,0.7142857142857143,95.4
1,finetune,13,8,0.2738987047451373,0.8722044728434505,1.5128815732424772,0.6329113924050633,0.556375370661085,0.660377358490566,0.6033131313131312,0.76,0.6,0.5454545454545454,0.6666666666666666,0.4444444444444444,95.1
