fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_stone_accuracy,val_stone_precision,val_stone_recall,val_stone_f1,val_stone_roc_auc,seconds
0,frozen,0,0,0.6783298382276222,0.5870253164556962,0.6729109590838415,0.6024844720496895,0.6,1.0,0.75,0.5302884615384615,0.5925925925925926,0.5925925925925926,1.0,0.7441860465116279,0.5553977272727273,95.1
0,frozen,1,1,0.6681153389471995,0.6012658227848101,0.6677084176436715,0.6149068322981367,0.6089743589743589,0.9895833333333334,0.753968253968254,0.5967948717948718,0.5925925925925926,0.5925925925925926,1.0,0.7441860465116279,0.6335227272727272,94.9
0,frozen,2,2,0.6531946244119089,0.6218354430379747,0.6724672924657786,0.6024844720496895,0.6142857142857143,0.8958333333333334,0.7288135593220338,0.59375,0.6111111111111112,0.6170212765957447,0.90625,0.7341772151898734,0.6207386363636364,95.1
0,frozen,3,3,0.6380007900769198,0.629746835443038,0.6680344069226188,0.6086956521739131,0.6137931034482759,0.9270833333333334,0.7385892116182573,0.5915064102564103,0.6111111111111112,0.6078431372549019,0.96875,0.7469879518072289,0.6306818181818181,94.7
0,frozen,4,4,0.6486452983904488,0.6329113924050633,0.6673567928142429,0.6086956521739131,0.6187050359712231,0.8958333333333334,0.7319148936170212,0.6064102564102565,0.6481481481481481,0.6274509803921569,1.0,0.7710843373493976,0.6392045454545455,94.7
0,finetune,5,0,0.6390220387072503,0.6645569620253164,0.6710309027144628,0.6211180124223602,0.6174496644295302,0.9583333333333334,0.7510204081632653,0.6125,0.6111111111111112,0.6037735849056604,1.0,0.7529411764705882,0.6477272727272727,95.9
0,finetune,6,1,0.6246594017065024,0.6708860759493671,0.6527368478153063,0.5962732919254659,0.6165413533834586,0.8541666666666666,0.7161572052401747,0.6344551282051282,0.5925925925925926,0.6190476190476191,0.8125,0.7027027027027027,0.6647727272727273,96.0
0,finetune,7,2,0.636805157872695,0.6693037974683544,0.656730614463735,0.5838509316770186,0.60431654676259,0.875,0.7148936170212766,0.6251602564102564,0.5555555555555556,0.5869565217391305,0.84375,0.6923076923076923,0.6619318181818182,96.0
0,finetune,8,3,0.6228003117102611,0.6693037974683544,0.6565386630733561,0.5900621118012422,0.6071428571428571,0.8854166666666666,0.7203389830508474,0.632051282051282,0.6296296296296297,0.625,0.9375,0.75,0.6704545454545454,96.2
0,finetune,9,4,0.5963060131555871,0.685126582278481,0.647431737147503,0.6086956521739131,0.6341463414634146,0.8125,0.7123287671232876,0.6437499999999999,0.6111111111111112,0.6410256410256411,0.78125,0.704225352112676,0.6747159090909092,95.8
