fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_macro_f1,val_stone_accuracy,val_stone_macro_f1,val_stone_f1_CaOx,val_stone_f1_CHP,val_stone_f1_UA,val_stone_f1_MAP,val_stone_f1_CYS,seconds
3,frozen,0,0,1.633786872384658,0.2655007949125596,1.669835655150875,0.10967741935483871,0.08579710144927537,0.07692307692307693,0.04395604395604395,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693,93.4
3,frozen,1,1,1.58304269268327,0.21144674085850557,1.6161764314097742,0.38064516129032255,0.22541632472697432,0.38461538461538464,0.2145,0.56,0.3125,0.2,0.0,0.0,93.3
3,frozen,2,2,1.5366980104643513,0.37360890302066774,1.6485442023123464,0.2838709677419355,0.19301589450344264,0.3269230769230769,0.2039384846211553,0.5116279069767442,0.25806451612903225,0.25,0.0,0.0,93.8
3,frozen,3,3,1.5176670085076118,0.32432432432432434,1.6012693858915759,0.33548387096774196,0.23940002221199402,0.34615384615384615,0.20845004668534078,0.5357142857142857,0.11764705882352941,0.16666666666666666,0.2222222222222222,0.0,93.2
3,frozen,4,4,1.4611157565503508,0.39268680445151033,1.6218023084825086,0.2,0.17992881308315536,0.19230769230769232,0.16409138789001487,0.3684210526315789,0.08695652173913043,0.14285714285714285,0.2222222222222222,0.0,93.2
3,finetune,5,0,1.4680727034191259,0.3322734499205087,1.9812863965188303,0.23870967741935484,0.11287417218543046,0.23076923076923078,0.09655172413793103,0.13793103448275862,0.3448275862068966,0.0,0.0,0.0,94.3
3,finetune,6,1,1.3197850273220262,0.40222575516693165,1.9184950828552245,0.25161290322580643,0.16507667864050843,0.23076923076923078,0.11836734693877551,0.4489795918367347,0.0,0.14285714285714285,0.0,0.0,94.6
3,finetune,7,2,1.1910655633065204,0.4546899841017488,2.769817807597499,0.1935483870967742,0.13386967221139381,0.17307692307692307,0.1312738367658276,0.3157894736842105,0.0,0.17391304347826086,0.0,0.16666666666666666,94.6
3,finetune,8,3,1.0657529268052506,0.4610492845786963,2.954347950412381,0.18064516129032257,0.10263595691315283,0.17307692307692307,0.09053708439897698,0.23529411764705882,0.21739130434782608,0.0,0.0,0.0,94.2
3,finetune,9,4,0.9779149829298969,0.5103338632750397,3.461762011435724,0.25161290322580643,0.15407327340994423,0.2692307692307692,0.16230388996346443,0.46808510638297873,0.12121212121212122,0.0,0.0,0.2222222222222222,94.6
3,finetune,10,5,0.7746109119090822,0.6248012718600954,3.2228732478234074,0.23225806451612904,0.14163087457205104,0.25,0.11299999999999999,0.44,0.125,0.0,0.0,0.0,94.5
3,finetune,11,6,0.7764731476909595,0.6120826709062003,3.7881043111124346,0.2064516129032258,0.1494067963576868,0.1346153846153846,0.07371273712737128,0.2222222222222222,0.14634146341463414,0.0,0.0,0.0,94.7
