fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_stone_accuracy,val_stone_precision,val_stone_recall,val_stone_f1,val_stone_roc_auc,seconds
0,frozen,0,0,0.7927293317227424,0.5443037974683544,0.6667278834751674,0.546583850931677,0.5864661654135338,0.8125,0.6812227074235808,0.5865384615384616,0.5740740740740741,0.5882352941176471,0.9375,0.7228915662650602,0.5994318181818181,94.2
0,frozen,1,1,0.7439815786820424,0.560126582278481,0.6737785716974958,0.5403726708074534,0.61,0.6354166666666666,0.6224489795918368,0.5774038461538461,0.5370370370370371,0.6129032258064516,0.59375,0.6031746031746031,0.5795454545454546,93.6
0,frozen,2,2,0.7395222353029854,0.560126582278481,0.6753396699147195,0.6086956521739131,0.610738255033557,0.9479166666666666,0.7428571428571429,0.5717948717948718,0.6111111111111112,0.6037735849056604,1.0,0.7529411764705882,0.5951704545454546,94.0
0,frozen,3,3,0.713049066972129,0.5743670886075949,0.6989047183013111,0.5527950310559007,0.6714285714285714,0.4895833333333333,0.5662650602409639,0.5878205128205128,0.5555555555555556,0.6666666666666666,0.5,0.5714285714285714,0.5880681818181818,93.7
0,frozen,4,4,0.7351406442968151,0.5743670886075949,0.7018234552063557,0.5217391304347826,0.6067415730337079,0.5625,0.5837837837837838,0.5626602564102564,0.5370370370370371,0.6206896551724138,0.5625,0.5901639344262295,0.5752840909090909,93.5
0,finetune,5,0,0.7394227868394007,0.5617088607594937,0.6884026475574659,0.6024844720496895,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.5608974358974359,0.5740740740740741,0.5918367346938775,0.90625,0.7160493827160493,0.5767045454545454,94.2
0,finetune,6,1,0.6579358841799483,0.6123417721518988,0.6991111913823193,0.5962732919254659,0.6183206106870229,0.84375,0.7136563876651982,0.5639423076923077,0.5925925925925926,0.6086956521739131,0.875,0.717948717948718,0.5909090909090908,94.3
0,finetune,7,2,0.6591640665561338,0.6218354430379747,0.6936410113891459,0.5714285714285714,0.6153846153846154,0.75,0.676056338028169,0.5745192307692307,0.5555555555555556,0.6,0.75,0.6666666666666666,0.5894886363636364,94.1
0,finetune,8,3,0.6299940083600297,0.6408227848101266,0.7005343622302417,0.5590062111801242,0.6190476190476191,0.6770833333333334,0.6467661691542289,0.5711538461538461,0.5740740740740741,0.6216216216216216,0.71875,0.6666666666666666,0.5852272727272727,94.4
0,finetune,9,4,0.6233688894706436,0.6503164556962026,0.6892071729121001,0.5714285714285714,0.6238532110091743,0.7083333333333334,0.6634146341463415,0.5836538461538462,0.5925925925925926,0.6388888888888888,0.71875,0.6764705882352942,0.6036931818181818,94.1
0,finetune,10,5,0.6333603443978708,0.6629746835443038,0.6957907626717728,0.5714285714285714,0.6588235294117647,0.5833333333333334,0.6187845303867403,0.6040064102564103,0.5555555555555556,0.6428571428571429,0.5625,0.6,0.6264204545454546,93.9
