fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_macro_f1,val_stone_accuracy,val_stone_macro_f1,val_stone_f1_CaOx,val_stone_f1_CHP,val_stone_f1_UA,val_stone_f1_MAP,val_stone_f1_CYS,seconds
0,frozen,0,0,1.7802389465332031,0.2368,1.6008311982424754,0.20125786163522014,0.17208167950712078,0.22641509433962265,0.19777777777777777,0.5,0.13333333333333333,0.13333333333333333,0.0,0.2222222222222222,94.4
0,frozen,1,1,1.7236115892410278,0.248,1.5539375048763346,0.3836477987421384,0.30158349468990203,0.39622641509433965,0.27683982683982683,0.6666666666666666,0.2857142857142857,0.18181818181818182,0.0,0.25,94.5
0,frozen,2,2,1.6529699270248412,0.2944,1.5157836960546625,0.389937106918239,0.26667761587547684,0.32075471698113206,0.18902503293807643,0.65,0.17391304347826086,0.0,0.0,0.12121212121212122,93.9
0,frozen,3,3,1.6496736349105834,0.2832,1.5084010827466376,0.44025157232704404,0.2848848881306636,0.39622641509433965,0.25693753555580845,0.723404255319149,0.08,0.0,0.11764705882352941,0.36363636363636365,93.9
0,frozen,4,4,1.5409373693466186,0.328,1.493595022825325,0.42138364779874216,0.31049913240433646,0.39622641509433965,0.2667149758454106,0.7391304347826086,0.08333333333333333,0.0,0.1111111111111111,0.4,94.1
0,finetune,5,0,1.4826062088012695,0.3344,1.5179082702540752,0.5220125786163522,0.3087719298245614,0.5094339622641509,0.30245098039215684,0.7083333333333334,0.47058823529411764,0.0,0.0,0.3333333333333333,94.6
0,finetune,6,1,1.3708574157714843,0.3808,1.477111464776333,0.4276729559748428,0.29366300366300363,0.39622641509433965,0.2748996655518395,0.6956521739130435,0.15384615384615385,0.0,0.125,0.4,94.7
0,finetune,7,2,1.3369886987686157,0.4208,1.433728612443936,0.46540880503144655,0.3262440801885714,0.4716981132075472,0.3192464678178964,0.7346938775510204,0.3076923076923077,0.0,0.15384615384615385,0.4,94.3
0,finetune,8,3,1.3040443544387816,0.4464,1.4193292271416142,0.42138364779874216,0.3013142413142413,0.41509433962264153,0.29458291117865587,0.6808510638297872,0.21428571428571427,0.0,0.13333333333333333,0.4444444444444444,94.9
0,finetune,9,4,1.2250595750808715,0.4576,1.387876939473662,0.44025157232704404,0.3342513736263736,0.4716981132075472,0.3918803418803419,0.7111111111111111,0.25,0.4,0.15384615384615385,0.4444444444444444,94.4
