fold,phase,epoch,phase_epoch,train_loss,train_aux_loss,val_loss,val_img_mae_overall,val_img_mae_CaOx,val_img_mae_CHP,val_img_mae_UA,val_img_mae_MAP,val_img_mae_CYS,val_img_mae_OTH,val_img_dominant_acc,val_img_aitchison,val_stone_mae_overall,val_stone_mae_CaOx,val_stone_mae_CHP,val_stone_mae_UA,val_stone_mae_MAP,val_stone_mae_CYS,val_stone_mae_OTH,val_stone_dominant_acc,val_stone_aitchison,seconds
0,frozen,0,0,1.2377437863239023,0.5475556423497755,1.2292833494710493,0.2191600650548935,0.43972718715667725,0.36306703090667725,0.17208518087863922,0.07331147789955139,0.18905270099639893,0.07771678268909454,0.25225225225225223,12.96402645111084,0.2191506028175354,0.43972721695899963,0.3630671203136444,0.17202827334403992,0.07331150770187378,0.18905270099639893,0.07771678268909454,0.24324324324324326,12.970866203308105,111.0
0,frozen,1,1,1.0865857179774794,0.4851950063261875,1.1637835593910906,0.21489198505878448,0.42402350902557373,0.3036787211894989,0.17921824753284454,0.08634591102600098,0.20019061863422394,0.0958949401974678,0.5045045045045045,13.062695503234863,0.2148076742887497,0.42402347922325134,0.303172767162323,0.17921815812587738,0.08634592592716217,0.20019060373306274,0.09589499235153198,0.5135135135135135,13.061917304992676,112.6
0,frozen,2,2,1.0179350054541298,0.4595726049223611,1.0719607853674673,0.20060689747333527,0.39488181471824646,0.30521437525749207,0.16210731863975525,0.08082983642816544,0.16353008151054382,0.09707794338464737,0.5225225225225225,12.812588691711426,0.20028936862945557,0.3942442834377289,0.3040997087955475,0.16195426881313324,0.08082985877990723,0.16353008151054382,0.09707794338464737,0.5405405405405406,12.81772232055664,113.2
0,frozen,3,3,1.0049778702647187,0.4509092096672502,1.0806784345223024,0.20430491864681244,0.39691999554634094,0.29496434330940247,0.17128780484199524,0.08602963387966156,0.18118366599082947,0.09544400870800018,0.5135135135135135,12.881823539733887,0.20421497523784637,0.39673662185668945,0.29483920335769653,0.17105655372142792,0.08602964133024216,0.18118365108966827,0.09544403105974197,0.5405405405405406,12.884732246398926,113.6
0,frozen,4,4,0.975972003160521,0.43588296105695323,1.0283459328316353,0.19512420892715454,0.3819136321544647,0.27942344546318054,0.1662091165781021,0.0821252167224884,0.1664295345544815,0.09464428573846817,0.5495495495495496,12.763313293457031,0.1946776956319809,0.380170613527298,0.2787248492240906,0.16597160696983337,0.0821252092719078,0.1664295643568039,0.09464433044195175,0.5135135135135135,12.767345428466797,114.2
0,finetune,5,0,0.915759504118631,0.42105553455131,0.9498318396173082,0.15575025975704193,0.33388638496398926,0.19822263717651367,0.1499178558588028,0.05115455761551857,0.13127261400222778,0.07004755735397339,0.5945945945945946,12.220671653747559,0.1541282832622528,0.3277411162853241,0.1946374475955963,0.1499163955450058,0.05115455389022827,0.1312725991010666,0.07004755735397339,0.6216216216216216,12.229275703430176,135.4
0,finetune,6,1,0.7239626621091089,0.3792013061601062,0.7983472809061274,0.13613800704479218,0.27158674597740173,0.1698654741048813,0.12792833149433136,0.04867040365934372,0.11625265330076218,0.0825243890285492,0.7117117117117117,11.845029830932617,0.13479702174663544,0.26990261673927307,0.16350369155406952,0.12792831659317017,0.04867040365934372,0.11625265330076218,0.0825243890285492,0.7027027027027027,11.848992347717285,136.4
0,finetune,7,2,0.5755456493344417,0.3298333570014599,0.7538871185199635,0.12770523130893707,0.25315040349960327,0.2174064815044403,0.09430388361215591,0.056090231984853745,0.0763593465089798,0.0689210593700409,0.6666666666666666,11.438535690307617,0.12644851207733154,0.2496265470981598,0.21377769112586975,0.09430388361215591,0.056090231984853745,0.07597161084413528,0.06892107427120209,0.7837837837837838,11.468152046203613,144.6
0,finetune,8,3,0.45394333448520924,0.291744569290516,0.6800624798010061,0.10505983978509903,0.20845502614974976,0.16700272262096405,0.08392664790153503,0.050509847700595856,0.05787400156259537,0.06259076297283173,0.7477477477477478,10.984919548034668,0.10280728340148926,0.20035947859287262,0.16158294677734375,0.08392663300037384,0.05050985515117645,0.057874009013175964,0.06259080022573471,0.8108108108108109,11.015666961669922,140.6
0,finetune,9,4,0.35757658828136535,0.25623839109442953,0.742839880623259,0.10167980939149857,0.19780191779136658,0.13603460788726807,0.09809017181396484,0.04264809191226959,0.07801559567451477,0.05748852342367172,0.7657657657657657,10.757027626037598,0.09781473875045776,0.1854674071073532,0.12637591361999512,0.09689293056726456,0.042648088186979294,0.07801558077335358,0.05748851224780083,0.7567567567567568,10.811065673828125,142.4
0,finetune,10,5,0.35719826484835426,0.2484726092150045,0.6946119953383196,0.1166096031665802,0.2315329611301422,0.1689998358488083,0.10845091193914413,0.05490007624030113,0.06579335778951645,0.06998054683208466,0.7117117117117117,11.205739974975586,0.11432773619890213,0.22618968784809113,0.1611512005329132,0.10795155167579651,0.05490008741617203,0.06579333543777466,0.06998054683208466,0.8108108108108109,11.28943920135498,143.7
0,finetune,11,6,0.3216415047645569,0.22347350065098254,0.8109735720329456,0.1158803403377533,0.23608088493347168,0.20313218235969543,0.07636484503746033,0.04242502152919769,0.07032410055398941,0.06695494800806046,0.7117117117117117,10.88524055480957,0.11296951770782471,0.2322174608707428,0.19309182465076447,0.07636482268571854,0.04242502152919769,0.0667630061507225,0.06695495545864105,0.7297297297297297,10.954522132873535,136.9
0,finetune,12,7,0.2913418979838837,0.19746744660444038,0.7823043508572621,0.09423346072435379,0.20104500651359558,0.13559271395206451,0.07241641730070114,0.042852312326431274,0.05237739160656929,0.06111691892147064,0.7387387387387387,10.480899810791016,0.09191635996103287,0.19696097075939178,0.1290116310119629,0.07191614806652069,0.04285231977701187,0.04964013025164604,0.06111694127321243,0.8108108108108109,10.595617294311523,140.8
0,finetune,13,8,0.23951398328293202,0.17809388928635175,0.7701493974204536,0.10245620459318161,0.19583287835121155,0.14628224074840546,0.09791328758001328,0.04085072502493858,0.06569387763738632,0.06816421449184418,0.7297297297297297,10.799551963806152,0.10038120299577713,0.18882764875888824,0.14334909617900848,0.09540163725614548,0.040850721299648285,0.06569388508796692,0.06816422194242477,0.8108108108108109,10.876852989196777,137.9
0,finetune,14,9,0.2564835055622944,0.1804323655228282,0.8333805214177381,0.10254567861557007,0.21281026303768158,0.16861064732074738,0.055366694927215576,0.04454202577471733,0.07730432599782944,0.056640129536390305,0.7297297297297297,10.716644287109375,0.09905212372541428,0.20499148964881897,0.15907704830169678,0.05536669120192528,0.04454202950000763,0.07369527965784073,0.0566401369869709,0.7567567567567568,10.684226989746094,146.1
0,finetune,15,10,0.24107296834158343,0.18222759802674138,0.7332848025871826,0.09525206685066223,0.19158437848091125,0.13523782789707184,0.0730941891670227,0.03929503634572029,0.07787980139255524,0.05442110449075699,0.7567567567567568,10.535088539123535,0.09153708070516586,0.18371815979480743,0.12378466129302979,0.07012374699115753,0.03929503634572029,0.07787980884313583,0.05442109704017639,0.7837837837837838,10.654393196105957,143.2
