fold,phase,epoch,phase_epoch,train_comp_loss,train_aux_loss,train_total_loss,val_loss,val_img_mae_overall,val_img_mae_CaOx,val_img_mae_CHP,val_img_mae_UA,val_img_mae_MAP,val_img_mae_CYS,val_img_dominant_acc,val_img_dominant_macro_f1,val_img_aitchison,val_stone_mae_overall,val_stone_mae_CaOx,val_stone_mae_CHP,val_stone_mae_UA,val_stone_mae_MAP,val_stone_mae_CYS,val_stone_dominant_acc,val_stone_dominant_macro_f1,val_stone_aitchison,seconds
0,frozen,0,0,1.1306385819435119,0.5562363934993744,1.2975095132827759,1.051903765906328,0.23866870999336243,0.3860775828361511,0.3339792490005493,0.1843017190694809,0.097661092877388,0.191323921084404,0.5534591194968553,0.24581124072110283,12.529699325561523,0.23846717178821564,0.3858770728111267,0.333172082901001,0.18430174887180328,0.0976611077785492,0.1913239061832428,0.6037735849056604,0.26891891891891895,12.530960083007812,102.1
0,frozen,1,1,1.019661536026001,0.5158722566604614,1.174423227119446,1.012468415986067,0.2249675989151001,0.3648325502872467,0.3198939859867096,0.16793900728225708,0.08294285833835602,0.1892295926809311,0.5534591194968553,0.26322921200039306,12.376197814941406,0.2241845577955246,0.3625616729259491,0.31830161809921265,0.16788716614246368,0.08294286578893661,0.18922960758209229,0.5849056603773585,0.261244019138756,12.37873363494873,101.4
0,frozen,2,2,0.9403905807495118,0.49111354246139527,1.0877246627807617,1.015398547334491,0.2202395498752594,0.3587900698184967,0.30574485659599304,0.18287470936775208,0.07915939390659332,0.17462867498397827,0.5157232704402516,0.23648303450935027,12.321196556091309,0.21983429789543152,0.35689982771873474,0.30560895800590515,0.1828746646642685,0.07915939390659332,0.17462867498397827,0.5094339622641509,0.21270491803278685,12.32405948638916,100.4
0,frozen,3,3,0.908945683479309,0.47981758975982663,1.0528909713745118,1.0381876425173298,0.20977585017681122,0.34382280707359314,0.33117008209228516,0.14645425975322723,0.07320082932710648,0.1542312651872635,0.559748427672956,0.2537439489133793,12.05299186706543,0.2090308666229248,0.34158119559288025,0.32990822196006775,0.14623293280601501,0.07320084422826767,0.1542312353849411,0.5849056603773585,0.26330532212885155,12.056365013122559,102.8
0,frozen,4,4,0.8925095666885376,0.4750437647819519,1.0350227127075196,1.026523434890891,0.20950083434581757,0.3463449478149414,0.30369630455970764,0.16023509204387665,0.08579866588115692,0.15142923593521118,0.5408805031446541,0.25352166543526444,12.12354850769043,0.20882967114448547,0.3450213074684143,0.3026569187641144,0.15994130074977875,0.08509959280490875,0.1514292061328888,0.5094339622641509,0.2179461615154536,12.128947257995605,101.2
0,finetune,5,0,0.88289059715271,0.46305705518722534,1.0218077215194703,1.0461687441891845,0.2062460482120514,0.3520834743976593,0.2867189049720764,0.19111062586307526,0.0666966438293457,0.1346205174922943,0.5534591194968553,0.3113857941269109,12.000062942504883,0.20567865669727325,0.3508014976978302,0.2851638197898865,0.19111070036888123,0.06669662892818451,0.13462050259113312,0.5471698113207547,0.32034632034632027,11.993958473205566,101.0
0,finetune,6,1,0.831774739074707,0.45045135636329653,0.966910159111023,1.0097280148440186,0.19233441352844238,0.32733386754989624,0.2906894087791443,0.1480276882648468,0.05921882763504982,0.13640230894088745,0.5723270440251572,0.3141190895696166,11.707442283630371,0.19152981042861938,0.324870228767395,0.2895984649658203,0.1475592404603958,0.059218816459178925,0.13640229403972626,0.5471698113207547,0.2851703558208053,11.705429077148438,101.3
0,finetune,7,2,0.8189602757453919,0.44149263014793394,0.9514080806732178,0.9725782541358996,0.19140128791332245,0.308111310005188,0.29364511370658875,0.17318502068519592,0.0627959743142128,0.1192690059542656,0.6163522012578616,0.3361926961926962,11.704192161560059,0.1907782107591629,0.30635493993759155,0.2927153706550598,0.17275568842887878,0.0627959668636322,0.119268998503685,0.6226415094339622,0.2790430622009569,11.686797142028809,103.7
0,finetune,8,3,0.7729569058418274,0.42560672307014463,0.9006389262199402,0.9278783438340673,0.18365217745304108,0.3023732900619507,0.27376309037208557,0.15572458505630493,0.06644298881292343,0.11995699256658554,0.6415094339622641,0.395328330206379,11.599664688110352,0.18263395130634308,0.2995939552783966,0.27221980690956116,0.15495605766773224,0.06644299626350403,0.11995698511600494,0.5849056603773585,0.3046309586764372,11.600812911987305,101.8
0,finetune,9,4,0.7446179355621337,0.42200972685813903,0.8712208518981933,0.8938456698783539,0.1864679604768753,0.2887125313282013,0.29456955194473267,0.14857004582881927,0.07259860634803772,0.12788906693458557,0.6540880503144654,0.3904134484325307,11.660867691040039,0.18513840436935425,0.2870357036590576,0.2904852628707886,0.14805415272712708,0.0722278580069542,0.12788909673690796,0.7169811320754716,0.40825647782169516,11.66644287109375,104.7
0,finetune,10,5,0.7190265515327453,0.4159366642475128,0.8438075601577759,0.9031971895469809,0.18044638633728027,0.27071520686149597,0.29027724266052246,0.15791727602481842,0.065377376973629,0.11794482171535492,0.6729559748427673,0.4191502046340756,11.517715454101562,0.1782897263765335,0.26638609170913696,0.28476426005363464,0.15708862245082855,0.06526485085487366,0.11794483661651611,0.6981132075471698,0.37109084768659234,11.501843452453613,102.5
0,finetune,11,6,0.6967085388183594,0.4117376683235168,0.8202298459053039,0.8635108703337375,0.181886225938797,0.2804441750049591,0.28841641545295715,0.14106565713882446,0.07156092673540115,0.1279439777135849,0.6477987421383647,0.3947787489613245,11.59878158569336,0.18028347194194794,0.2777478098869324,0.2836446166038513,0.14074721932411194,0.07133378833532333,0.1279440075159073,0.7169811320754716,0.4450793650793651,11.618896484375,103.5
0,finetune,12,7,0.6386965179443359,0.3932110221862793,0.7566598336219788,0.8120926686053006,0.1780594289302826,0.2593124806880951,0.2601800262928009,0.17127561569213867,0.06877674162387848,0.1307523250579834,0.660377358490566,0.45156144976679924,11.580000877380371,0.17624211311340332,0.256475567817688,0.25460630655288696,0.17059962451457977,0.06877675652503967,0.130752295255661,0.7358490566037735,0.4948605748605749,11.58807373046875,104.2
0,finetune,13,8,0.627120774269104,0.37459057126045225,0.7394979487419129,0.7900741572649974,0.17293459177017212,0.24198190867900848,0.25151747465133667,0.16064389050006866,0.08246210962533951,0.12806755304336548,0.6729559748427673,0.48861946814349155,11.54938793182373,0.17088796198368073,0.23942311108112335,0.24489252269268036,0.15959452092647552,0.08246209472417831,0.12806753814220428,0.8113207547169812,0.6066494908600172,11.574065208435059,102.3
0,finetune,14,9,0.6365594111442566,0.38608868374824523,0.752386010837555,0.8334964281358059,0.17364783585071564,0.25884684920310974,0.2699050009250641,0.13650308549404144,0.09460699558258057,0.10837719589471817,0.6729559748427673,0.42990746119619044,11.44412899017334,0.17148196697235107,0.25507256388664246,0.2633357048034668,0.13650307059288025,0.0941212847828865,0.10837715119123459,0.7169811320754716,0.42727272727272725,11.445788383483887,101.1
