fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_stone_accuracy,val_stone_precision,val_stone_recall,val_stone_f1,val_stone_roc_auc,seconds
0,frozen,0,0,0.675856709855748,0.5716535433070866,0.6932918534338849,0.5786163522012578,0.0,0.0,0.0,0.4752864157119477,0.5740740740740741,0.0,0.0,0.0,0.4616477272727273,111.5
0,frozen,1,1,0.6565146319509492,0.6062992125984252,0.6848728049476192,0.5471698113207547,0.37037037037037035,0.15384615384615385,0.21739130434782608,0.5057283142389526,0.5370370370370371,0.3333333333333333,0.13636363636363635,0.1935483870967742,0.5042613636363635,93.5
0,frozen,2,2,0.6556087218870328,0.6251968503937008,0.6702863716479367,0.5911949685534591,0.5,0.24615384615384617,0.32989690721649484,0.5772504091653028,0.5555555555555556,0.4,0.18181818181818182,0.25,0.5795454545454546,93.3
0,frozen,3,3,0.6426860502385717,0.6141732283464567,0.6713099873290872,0.5849056603773585,0.4864864864864865,0.27692307692307694,0.35294117647058826,0.5716857610474632,0.5555555555555556,0.4166666666666667,0.22727272727272727,0.29411764705882354,0.5809659090909091,93.8
0,frozen,4,4,0.6467495050955945,0.6330708661417322,0.6678999493706901,0.5849056603773585,0.49019607843137253,0.38461538461538464,0.43103448275862066,0.5995090016366611,0.5740740740740741,0.4666666666666667,0.3181818181818182,0.3783783783783784,0.6107954545454546,92.9
0,finetune,5,0,0.6151450546707694,0.658267716535433,0.6655406993140215,0.5974842767295597,0.5068493150684932,0.5692307692307692,0.5362318840579711,0.6482815057283142,0.6296296296296297,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.65625,95.2
0,finetune,6,1,0.5533653283682395,0.6881889763779527,0.6682846669880849,0.6477987421383647,0.5818181818181818,0.49230769230769234,0.5333333333333333,0.642062193126023,0.6481481481481481,0.5882352941176471,0.45454545454545453,0.5128205128205128,0.6363636363636362,94.6
0,finetune,7,2,0.5128344173506489,0.7511811023622047,0.6039101687617272,0.6855345911949685,0.631578947368421,0.5538461538461539,0.5901639344262295,0.7240589198036007,0.6851851851851852,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7386363636363636,94.4
0,finetune,8,3,0.4032128191369725,0.8110236220472441,0.8540325209779559,0.6729559748427673,0.696969696969697,0.35384615384615387,0.46938775510204084,0.6391162029459903,0.6851851851851852,0.8571428571428571,0.2727272727272727,0.41379310344827586,0.6761363636363635,94.4
0,finetune,9,4,0.40778156293658757,0.8173228346456692,0.9592523027516011,0.6792452830188679,0.7916666666666666,0.2923076923076923,0.42696629213483145,0.6944353518821604,0.6481481481481481,0.8,0.18181818181818182,0.2962962962962963,0.7698863636363635,94.6
0,finetune,10,5,0.34269088774215517,0.8377952755905512,0.6877168589418039,0.6729559748427673,0.6101694915254238,0.5538461538461539,0.5806451612903226,0.7297872340425532,0.6851851851851852,0.6666666666666666,0.45454545454545453,0.5405405405405406,0.7741477272727273,94.5
0,finetune,11,6,0.2934711779665759,0.8803149606299212,0.6721584669449044,0.6981132075471698,0.6197183098591549,0.676923076923077,0.6470588235294118,0.7973813420621931,0.7222222222222222,0.64,0.7272727272727273,0.6808510638297872,0.8267045454545454,94.2
0,finetune,12,7,0.24781624749889525,0.8992125984251969,0.9062763609976139,0.7547169811320755,0.8611111111111112,0.47692307692307695,0.6138613861386139,0.7661211129296235,0.7407407407407407,0.9,0.4090909090909091,0.5625,0.828125,93.9
