fold,best_epoch,best_val_loss,best_loss,best_accuracy,best_precision,best_recall,best_f1,best_roc_auc,best_stone_accuracy,best_stone_precision,best_stone_recall,best_stone_f1,best_stone_roc_auc
0,6,0.6796038749799207,0.6796038749799207,0.5621890547263682,0.38596491228070173,0.29333333333333333,0.3333333333333333,0.5689947089947089,0.5671641791044776,0.3888888888888889,0.28,0.32558139534883723,0.5752380952380953
1,15,0.5882664461328526,0.5882664461328526,0.696969696969697,0.6428571428571429,0.375,0.47368421052631576,0.7158289241622575,0.7575757575757576,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.7549603174603176
2,13,0.6097323722911604,0.6097323722911604,0.6818181818181818,0.5918367346938775,0.4027777777777778,0.4793388429752066,0.6915784832451499,0.6818181818181818,0.6153846153846154,0.3333333333333333,0.43243243243243246,0.7291666666666666
3,6,0.6578871913367722,0.6578871913367722,0.6192893401015228,0.44,0.1527777777777778,0.2268041237113402,0.6078888888888889,0.6363636363636364,0.5,0.125,0.2,0.6309523809523809
4,19,0.538143333762583,0.538143333762583,0.702020202020202,0.6481481481481481,0.4666666666666667,0.5426356589147286,0.7850406504065041,0.7121212121212122,0.6875,0.44,0.5365853658536586,0.8360975609756098
