fold,best_epoch,best_val_loss,best_loss,best_accuracy,best_macro_f1,best_stone_accuracy,best_stone_macro_f1,best_stone_f1_CaOx,best_stone_f1_CaP,best_stone_f1_UA,best_stone_f1_MAP,best_stone_f1_CYS
0,25,1.0297842652059448,1.0297842652059448,0.5939086294416244,0.5076563202878993,0.6363636363636364,0.582840909090909,0.71875,0.5,0.75,0.4,0.5454545454545454
1,23,1.3730747230125195,1.3730747230125195,0.6111111111111112,0.4856467421059997,0.5909090909090909,0.4636907919666541,0.7428571428571429,0.3448275862068966,0.6153846153846154,0.0,0.6153846153846154
2,26,1.069097236933442,1.069097236933442,0.6192893401015228,0.4909816573870326,0.6060606060606061,0.4663408276311502,0.8064516129032258,0.30303030303030304,0.5555555555555556,0.0,0.6666666666666666
3,6,1.5222792307535806,1.5222792307535806,0.517948717948718,0.38315299740335107,0.5846153846153846,0.44502960640891676,0.7241379310344828,0.5555555555555556,0.4,0.0,0.5454545454545454
4,18,1.3905220985412599,1.3905220985412599,0.6,0.4537489177489177,0.6,0.4141176470588235,0.7714285714285715,0.4,0.47058823529411764,0.0,0.42857142857142855
