,mean,std
best_val_loss,1.6612795952738515,0.08443426258954499
best_loss,1.6612795952738515,0.08443426258954499
best_accuracy,0.2770160803663341,0.0674674706121454
best_macro_f1,0.19194030988482683,0.03502768657487785
best_stone_accuracy,0.29561771561771566,0.09349214184590293
best_stone_macro_f1,0.19834785165211355,0.04667476793752671
best_stone_f1_CaOx,0.391788400724571,0.1908630288478754
best_stone_f1_CaP,0.2817553688141924,0.0749229935870415
best_stone_f1_UA,0.06857142857142857,0.09604420750840922
best_stone_f1_MAP,0.13333333333333333,0.1513825177048746
best_stone_f1_CYS,0.1162907268170426,0.13691415290996156
