stone_id,mean_std_per_class,std_CaOx,std_CHP,std_UA,std_MAP,std_CYS,std_OTH
S10,0.09532566802407454,0.24783576885003675,0.1742427819914513,0.024172785378118886,0.09372896836717744,0.019791261084010147,0.012182442473652622
S100,0.062232802851130524,0.18532319455575472,0.03843140296315345,0.12998684879954484,0.00850562007963377,0.005915259269995714,0.005234491438700641
S101,0.07703879306061281,0.14455173893595108,0.1437031072404242,0.09140965668135143,0.04079713946552992,0.03820419645872623,0.0035669195816939664
S103,0.12275462730279846,0.20362007384847747,0.07894832271450783,0.17455375617591262,0.0036455183627428314,0.27553992407039024,0.00022016864475975462
S104,0.035373483749219524,0.006011122981541305,0.0890501445937746,0.019423009404830695,0.08278053164431666,2.6878677271515463e-07,0.014975825084081162
S105,0.0604361699209472,0.026345168404601882,0.14843136298348727,0.007349994513014299,0.14460170222686522,0.015068115464742177,0.020820675932972363
S106,0.07041726336566166,0.06137543161961171,0.20855299223378046,0.011505079632688412,0.10221928052674813,0.0027959068355946242,0.03605488934554663
S107,0.06956368930176093,0.17451842331258471,0.09199309039219566,0.000333475066866106,0.14905596565857396,9.375885911495563e-05,0.0013874225212301757
S108,0.1233466477632596,0.35024543038817163,0.34540972069295156,0.008919131161886303,0.026060914510475784,0.00044590847073642804,0.008998781355335985
S109,0.13242295831288764,0.3211346867378581,0.36126059906049435,0.07340329840066315,0.038483607440815366,1.2252706537060414e-05,0.00024330553095787896
S11,0.12619534741985058,0.2891406836753688,0.18251359889076507,0.06896570479840684,0.20862176405537994,0.003258991687240543,0.004671341411942219
S111,0.017712447830790016,0.05234815162465998,0.03572562773633227,0.008543985903919664,0.0019251368210013316,0.000357467154828191,0.00737431774399864
S113,0.04288492479226832,0.04997971647832532,0.06912067250316102,0.00539328861692732,0.12714711900091616,0.0012320224028910499,0.004436729751389021
S115,0.11147080462835973,0.3171812203974102,0.2778852919876671,0.00046100833566833807,0.06542589906635256,0.00017325718806734507,0.007698150794992756
S116,0.04390251882113144,0.008095193454693426,0.11606091216509115,0.005148546612718694,0.020173530838649395,0.11165440350028523,0.002282526355350772
S117,0.05740529683910084,0.1629256897404724,0.14518733366073994,0.0012483380271069275,0.03234692658990611,7.576651440990719e-05,0.0026477265019697782
S118,0.020120351339751864,0.05749541864333078,0.05910350412463698,0.0028485788878792025,0.00023476490591848093,0.0009527913390588718,8.705013768685767e-05
S119,0.05753096582490355,0.15919979184578692,0.11872036302562303,0.007980901199469117,0.05345016628395502,0.0036664633683882197,0.002168109226199011
S12,0.05944116814545109,0.12231455787860936,0.08700102975282598,0.08605782706037886,0.012355973585894894,0.026329083006759648,0.02258853758823786
S120,0.05767781076803169,0.10462674218326108,0.05524246852573869,0.004974938445862059,0.017788396631309426,0.15835864683480652,0.0050756719872123495
