class,model_b_f1,model_b_std,model_c_f1,model_c_std,diff
CaOx,0.782224103700006,0.0381493048442566,0.7527250516446846,0.0364186362315177,0.02949905205532133
CaP,0.5757999736445567,0.0869045052668334,0.430664863646608,0.093212646228398,0.1451351099979487
UA,0.6597402597402597,0.1714187325000226,0.5625162075626472,0.1288956817199336,0.09722405217761254
MAP,0.0,0.0,0.08,0.1788854381999831,-0.08
CYS,0.5043223443223444,0.2037694401297111,0.5512154512154511,0.093734240739481,-0.04689310689310677
macro,0.5044173362814333,0.0620189541842275,0.4754243148138782,0.0645748548056952,0.028993021467555058
