fold,best_epoch,best_val_loss,best_loss,best_img_mae_overall,best_img_mae_CaOx,best_img_mae_CaP,best_img_mae_UA,best_img_mae_MAP,best_img_mae_CYS,best_img_dominant_acc,best_img_dominant_macro_f1,best_img_dominant_f1_CaOx,best_img_dominant_f1_CaP,best_img_dominant_f1_UA,best_img_dominant_f1_MAP,best_img_dominant_f1_CYS,best_img_aitchison,best_stone_mae_overall,best_stone_mae_CaOx,best_stone_mae_CaP,best_stone_mae_UA,best_stone_mae_MAP,best_stone_mae_CYS,best_stone_dominant_acc,best_stone_dominant_macro_f1,best_stone_dominant_f1_CaOx,best_stone_dominant_f1_CaP,best_stone_dominant_f1_UA,best_stone_dominant_f1_MAP,best_stone_dominant_f1_CYS,best_stone_aitchison
0,15,0.5558458504640511,0.5558458504640511,0.2828577160835266,0.4517112076282501,0.31093132495880127,0.23195809125900269,0.19795893132686615,0.22172904014587402,0.2233502538071066,0.20995798903196494,0.2537313432835821,0.15730337078651685,0.0975609756097561,0.24489795918367346,0.2962962962962963,13.095464706420898,0.2823779284954071,0.45243337750434875,0.309317022562027,0.23140043020248413,0.19757317006587982,0.2211657017469406,0.24242424242424243,0.2025925925925926,0.3333333333333333,0.13333333333333333,0.0,0.25,0.2962962962962963,13.101744651794434
1,6,0.6284894010033271,0.6284894010033271,0.2883085012435913,0.43087852001190186,0.31036120653152466,0.2569735646247864,0.20213757455348969,0.2411915808916092,0.2474747474747475,0.18739586290811058,0.42038216560509556,0.11940298507462686,0.12345679012345678,0.05555555555555555,0.21818181818181817,13.199488639831543,0.2882593274116516,0.430878609418869,0.31028372049331665,0.25697365403175354,0.2019691914319992,0.24119147658348083,0.2878787878787879,0.2131301870432305,0.48148148148148145,0.17391304347826086,0.07692307692307693,0.0,0.3333333333333333,13.199609756469727
2,8,0.5803714954308447,0.5803714954308447,0.2900712490081787,0.4432779550552368,0.3113434612751007,0.2299957275390625,0.18793250620365143,0.2778065800666809,0.17766497461928935,0.17556277448153543,0.09615384615384616,0.20512820512820512,0.21621621621621623,0.1016949152542373,0.25862068965517243,13.063568115234375,0.2898932099342346,0.4415323734283447,0.31293031573295593,0.22964997589588165,0.18813246488571167,0.27722087502479553,0.16666666666666666,0.1543904157857646,0.17142857142857143,0.09090909090909091,0.18181818181818182,0.09523809523809523,0.23255813953488372,13.068811416625977
3,5,0.6049662296588604,0.6049662296588604,0.2867896556854248,0.43929824233055115,0.3126148581504822,0.2377326339483261,0.1741279661655426,0.2701745927333832,0.1641025641025641,0.13586106564829967,0.13675213675213677,0.3333333333333333,0.0425531914893617,0.0,0.16666666666666666,13.25621509552002,0.28674012422561646,0.43927642703056335,0.3126150369644165,0.23750658333301544,0.17412801086902618,0.27017465233802795,0.18461538461538463,0.14157894736842108,0.15,0.4,0.0,0.0,0.15789473684210525,13.257549285888672
4,6,0.6331941130833748,0.6331941130833748,0.2946193218231201,0.46016618609428406,0.32327935099601746,0.23165689408779144,0.24701929092407227,0.21097491681575775,0.09743589743589744,0.08623415135508547,0.19834710743801653,0.06349206349206349,0.0,0.05504587155963303,0.11428571428571428,12.999856948852539,0.29456034302711487,0.4599652886390686,0.32327935099601746,0.23156282305717468,0.24701929092407227,0.21097493171691895,0.12307692307692308,0.13834586466165413,0.21052631578947367,0.09523809523809523,0.0,0.05263157894736842,0.3333333333333333,13.00058364868164
