,mean,std
best_val_loss,0.7001904240777531,0.060624091511311436
best_loss,0.7001904240777531,0.060624091511311436
best_img_mae_overall,0.15781511664390563,0.012675625791936757
best_img_mae_CaOx,0.25423694849014283,0.021308364885418256
best_img_mae_CaP,0.25834851861000063,0.02471968540210584
best_img_mae_UA,0.12078387439250945,0.01068985118732166
best_img_mae_MAP,0.05416892096400261,0.010890204073805877
best_img_mae_CYS,0.10153735131025314,0.013149715499167313
best_img_dominant_acc,0.6559090317465952,0.049380709353765304
best_img_dominant_macro_f1,0.44362284890244447,0.08945457556514129
best_img_dominant_f1_CaOx,0.780153198133977,0.03503549904891897
best_img_dominant_f1_CaP,0.5622040262001724,0.07064853251276954
best_img_dominant_f1_UA,0.5111066555277082,0.16620952838874048
best_img_dominant_f1_MAP,0.0,0.0
best_img_dominant_f1_CYS,0.36465036465036466,0.2411379318210766
best_img_aitchison,10.993613243103027,0.33116135430369636
best_stone_mae_overall,0.15560400485992432,0.013260155993623086
best_stone_mae_CaOx,0.2483249634504318,0.02187881633013
best_stone_mae_CaP,0.25310873687267305,0.028176861393298818
best_stone_mae_UA,0.12050971239805222,0.010254115786165321
best_stone_mae_MAP,0.05405624955892563,0.010985974356571698
best_stone_mae_CYS,0.10202035903930665,0.01294093991150917
best_stone_dominant_acc,0.6648018648018648,0.08013852444676518
best_stone_dominant_macro_f1,0.4522321605228137,0.11948871474099447
best_stone_dominant_f1_CaOx,0.779361247155976,0.05391903440915106
best_stone_dominant_f1_CaP,0.5633069369654735,0.12580071959787786
best_stone_dominant_f1_UA,0.5629370629370629,0.19143059319321815
best_stone_dominant_f1_MAP,0.0,0.0
best_stone_dominant_f1_CYS,0.3555555555555555,0.3570282002902139
best_stone_aitchison,11.064602661132813,0.30278750001690824
