,mean,std
best_val_loss,0.7570705279873038,0.10095647107953329
best_loss,0.7570705279873038,0.10095647107953329
best_img_mae_overall,0.12202692925930023,0.0184946065236634
best_img_mae_CaOx,0.24635436236858368,0.02400299600818132
best_img_mae_CHP,0.21560730040073395,0.022820017853990626
best_img_mae_UA,0.11322134435176849,0.02261564696651625
best_img_mae_MAP,0.0574166364967823,0.01899910571767805
best_img_mae_CYS,0.06395168490707874,0.03834471760314798
best_img_mae_OTH,0.035610271617770195,0.011871704458176886
best_img_dominant_acc,0.6483069278564983,0.07086198241813825
best_img_aitchison,11.251094627380372,0.43866978467038187
best_stone_mae_overall,0.11774774938821793,0.019468551811792696
best_stone_mae_CaOx,0.2370443046092987,0.026702129796559126
best_stone_mae_CHP,0.2044568330049515,0.022579573204863458
best_stone_mae_UA,0.11056802272796631,0.023465401491449718
best_stone_mae_MAP,0.05518714711070061,0.01750434305385933
best_stone_mae_CYS,0.0637702951207757,0.03835910584606892
best_stone_mae_OTH,0.035459845513105395,0.011800602172223755
best_stone_dominant_acc,0.680083857442348,0.06949298173241997
best_stone_aitchison,11.295491027832032,0.44348695215531675
