stone_id,mean_std_per_class,std_CaOx,std_CaP,std_UA,std_MAP,std_CYS
S1,0.034776794079583964,0.07203299121178797,0.0741161786498604,0.0055505621586866075,0.006383550757809434,0.015800687619775385
S100,0.011460188058434467,0.02517160515853122,0.02125459586283286,0.006192240979730759,0.0024449198236962803,0.0022375784673812175
S101,0.02589861218957822,0.0570334613040109,0.03101193999219835,0.012808264583211148,0.010933974796256065,0.017705420272214643
S102,0.01572156709767971,0.03338516859820114,0.02325431013072057,0.006435302716784568,0.003244903952947577,0.012288150089744706
S103,0.019777500262487945,0.02779142386572968,0.03105059800065607,0.014670739967965805,0.010871581713319664,0.014503157764768498
S104,0.01152026032704711,0.02271948518281303,0.005826420291640064,0.005455237718632431,0.005717571999717767,0.017882586442432267
S105,0.017464626076367916,0.022605072605747328,0.02078040598701587,0.015150628351503347,0.013899502476215549,0.014887520961357483
S106,0.016265126767507028,0.034705030484174365,0.01467172095479027,0.015227663857630547,0.009684021972664514,0.007037196568275416
S107,0.018002738343266718,0.024021855243633494,0.020381010691656643,0.014790183745054235,0.008335720052818157,0.022484921983171056
S108,0.01427450481184073,0.02274262873519437,0.015113317446861374,0.010720515702851553,0.01085252383958863,0.011943538334707718
S109,0.011507757122831317,0.020199141792875748,0.026191206485257915,0.004203723689680167,0.0019566821046696783,0.004988031541673069
S11,0.013912944234215819,0.01974433796750863,0.028460475674221275,0.0033723017116452634,0.004896531298387553,0.013091074519316372
S110,0.02150980713765701,0.05241909237053717,0.0036151617106992013,0.022495166672061688,0.009666830643824183,0.019352784291162835
S111,0.03381519000177513,0.07519459110988871,0.04886521875012954,0.01845854675324609,0.016133431757822517,0.0104241616377888
S113,0.02465193229458259,0.03920724239772028,0.060195940664100056,0.008462142705711027,0.006588487557035781,0.00880584814834581
S115,0.03663654440909657,0.08620918175385553,0.06016797618030104,0.016030983015343402,0.009573516497603582,0.011201064598379334
S117,0.016658596349637417,0.024871415851981504,0.0186998254444958,0.005592805143564972,0.004995897040648215,0.029133038267496587
S119,0.021290546729603316,0.026180012113427013,0.03208309836837821,0.01405594215784446,0.009299307385134311,0.024834373623232604
S12,0.010610542965842674,0.02511308921717672,0.009368116188820183,0.008001733762777113,0.008013023493842206,0.0025567521665971504
S120,0.02096121922660762,0.029081946359980834,0.041328315253121445,0.012232527788333994,0.005601254436158566,0.016562052295443278
S121,0.01751282772388927,0.01858772975438656,0.03001926900129277,0.012917269176205472,0.01451400933795151,0.011525861349610029
S122,0.03162608628973355,0.07232674793022412,0.065206375176789,0.013612831125969166,0.0024209237869210554,0.0045635534287644
S123,0.010736012982123646,0.02248556223301637,0.01370494589749166,0.003318697444164547,0.007929766163192213,0.00624109317275343
S125,0.0096184565112555,0.000750359770881766,0.020653829075813285,0.003463027794370308,0.008048856792546489,0.01517620912266566
S126,0.024326191902473586,0.039650303153980375,0.04969055567921358,0.012367874140536006,0.005365269526646779,0.014556957011991216
S127,0.015279825033878739,0.02759219747365783,0.03716169309449463,0.0055094169081483305,0.002064297504446322,0.004071520188646572
S13,0.013162917769420237,0.026443473854037114,0.009967762911620236,0.010976892773320026,0.009049873925377802,0.009376585382746007
S131,0.025149801813439017,0.05895611095673463,0.05173691157726394,0.009534364267141228,0.002844980379650477,0.002676641886404806
S133,0.017050025527644917,0.010205034020807417,0.04221778834288583,0.009451020431819631,0.011496304328704732,0.01187998051400696
S134,0.010977952236904866,0.022805565163397733,0.006758505437108328,0.0053552747183204154,0.010218995829257267,0.009751420036440585
S135,0.009512041910105632,0.022568681205292727,0.007505117972713099,0.006484554973651839,0.004283990080861155,0.006717865318009345
S136,0.03524217607959682,0.06892058529263877,0.07599168875011689,0.005981930158966664,0.008000469770318977,0.0173162064259428
S137,0.019148809823551684,0.045174970343222313,0.0012390017326663694,0.017342722959109266,0.01893868715626697,0.013048666926493504
S139,0.022707936368647964,0.04313777655238151,0.013411623277529216,0.015584041347322686,0.011991554391917509,0.029414686274088882
S14,0.012425975035857805,0.020170838092604882,0.02753260625810195,0.0040848831723164485,0.007809134837535931,0.002532412818729805
S140,0.02400543600359801,0.05325633845284872,0.010212890638328642,0.02150788626957278,0.014069816933127996,0.0209802477241119
S141,0.04130026042867885,0.07783227330547156,0.05247472271464786,0.022337266423531336,0.027099136356345598,0.0267579033433979
S142,0.011331125778225815,0.019048827175720786,0.010765396811294363,0.014287729002630058,0.009621199029526007,0.0029324768719578534
S143,0.007491000380219058,0.014528368784440823,0.010084828769619282,0.005481120326944197,0.0014769036123881145,0.005883780407702868
S144,0.009371532914314527,0.004135312328907326,0.017160540990496582,0.010593377756218032,0.005062684067075745,0.00990574942887495
S145,0.012817199653736682,0.01611174789785716,0.015935528875454463,0.011584784873609165,0.010705462978839331,0.009748473642923288
S146,0.027989196678702886,0.0496704548091988,0.02026259951393919,0.021792591348020942,0.013702418500988578,0.03451791922136693
S147,0.013054527702450025,0.027472575508072916,0.023702804597470043,0.004987304926377957,0.004288912012649259,0.004821041467679952
S148,0.016966815532676326,0.013297649483874992,0.028746223387774987,0.011062577669061708,0.004770622760795867,0.02695700436187408
S15,0.020397045862479105,0.046187482344359314,0.004871499067683665,0.019987057556473717,0.01044151944854364,0.020497670895335187
S150,0.008235677433375967,0.017900467918764974,0.008915770332200474,0.004371592415355027,0.0025561654881086997,0.007434391012450662
S151,0.015890190911823858,0.02151215287505088,0.02267231045850428,0.009705777386338823,0.010050189465048496,0.015510524374176817
S152,0.014342023939696438,0.03061966349506685,0.0035480200651187266,0.014490403632804943,0.00806733581601556,0.01498469668947611
S153,0.025428455672928663,0.03639397964937149,0.0238717747229013,0.025851688502297614,0.013514346000982324,0.027510489489090583
S154,0.026302781336363622,0.06109498083393653,0.005972819570125063,0.0177788246411455,0.01414563822081117,0.03252164341579986
S155,0.01880970953878932,0.04091638408181687,0.013132693856980486,0.009392187798638226,0.01066660694909442,0.019940675007416604
S156,0.007502976684660867,0.002089493753748817,0.018404175391599463,0.002048045939327479,0.008181516904076517,0.00679165143455206
S158,0.044618066201620635,0.10188634389963937,0.013668490135307828,0.03187942954952635,0.01724302625222441,0.05841304117140521
S159,0.01595038217171314,0.03370951912028046,0.01086176013757055,0.012488593272979288,0.00288611238283473,0.019805925944900667
S16,0.027354758365396394,0.06752953430215419,0.02286404848571235,0.013381722158484962,0.015594412875399389,0.01740407400523106
S161,0.02328195300491271,0.04830832009695493,0.00938722660070875,0.014671418197221054,0.009982482029181889,0.0340603181004969
S162,0.017056195505832865,0.03382903724827889,0.03556988201285609,0.004358235112571253,0.0004359261535401481,0.01108789700191795
S164,0.014554217200949677,0.0249706199023919,0.011121308961394856,0.016157894610108303,0.007572661247378978,0.01294860128347434
S166,0.010333368427909462,0.023195407725762413,0.017400762178050116,0.0033958901823942815,0.0023548019886831593,0.005319980064657347
S167,0.024579595292741833,0.015673731459497835,0.04805529397897028,0.026908417692965387,0.014286839731771936,0.017973693600503732
S17,0.02133073497872261,0.04564090302972597,0.008425069921377716,0.02136735157074592,0.011602628830551666,0.019617721541211778
S170,0.018504117871625585,0.02432818120182859,0.014943019369048332,0.015886184528294853,0.005230885959355098,0.03213231829960106
S171,0.020633620693857387,0.04107666125495561,0.01603824687261466,0.013602467278025271,0.012586455518179702,0.01986427254551169
S172,0.02533479965165582,0.06087562192059763,0.00685548707820798,0.022998562642169006,0.015424909913994872,0.02051941670330962
S173,0.008219969563522538,0.014234160130425366,0.015574112855371395,0.004308402927479074,0.0008417380761217845,0.006141433828215067
S174,0.022166476329895372,0.04933307195121706,0.029930866101990486,0.009157053039365088,0.008560013634811754,0.013851376922092457
S175,0.027602246485575306,0.03739823078763715,0.055584920144264895,0.010215648467203953,0.004556710315472902,0.030255722713297618
S177,0.0252254404647383,0.04478453000265957,0.019007789434590704,0.02417807438963053,0.015656806644771468,0.022500001852039226
S178,0.029651637756034476,0.07105590511229848,0.03680603685072908,0.014742545433455727,0.011315200495192496,0.014338500888496593
S18,0.012741119204768758,0.029882071710975205,0.010785979711352972,0.0065598349715419516,0.005550849512962174,0.010926860117011487
S180,0.019385904322654197,0.04327008295064193,0.0288334321486863,0.00807758856227897,0.00348970453143996,0.013258713420223838
S181,0.029066459328431722,0.07238904174835925,0.039166014368305975,0.01152078006498779,0.007980539258945823,0.01427592120155977
S182,0.009095398327254391,0.015158946752867835,0.008237318076073126,0.005834563531926633,0.0069893993564639,0.009256763918940463
S183,0.013189257620695633,0.03205140104069482,0.007818705534595195,0.009880485295992582,0.007856040902577131,0.008339655329618435
S184,0.01620631080709968,0.04020755253298485,0.01923839202304656,0.007513066928683216,0.006167094682771088,0.007905447868012684
S185,0.030779314745373532,0.07569559091651117,0.034919335570863845,0.016750142617870056,0.007220396011494239,0.019311108610128344
S186,0.0076503735347868956,0.01841042337943563,0.0076076228963118985,0.004527370660587002,0.002687545735546757,0.005018905002053197
S187,0.011073165303807767,0.012802643508061652,0.01845550896416721,0.010622632586225783,0.004717259948633045,0.008767781511951137
S188,0.02705610252791311,0.058698075124826124,0.04019202885300288,0.013309797155304023,0.009448746125736575,0.013631865380695964
S189,0.02609567115227342,0.04130719641460298,0.03102619583417938,0.021019420319053687,0.01197616926635382,0.025149373927177223
S19,0.011364924022518017,0.016040878086738878,0.021841164272643872,0.008447459459112046,0.0008227246027634894,0.0096723936913318
