stone_id,mean_std_per_class,std_CaOx,std_CHP,std_UA,std_MAP,std_CYS,std_OTH
S10,0.07941903824348724,0.22095980627119638,0.18148215308178606,0.0063918507927278045,0.056352470631743264,0.0003804360488303895,0.010947512634639538
S100,0.020445955017679877,0.057188738720591215,0.010663656732044806,0.03542561836218534,0.0007042614056865159,0.013857059846968995,0.004836395038602389
S101,0.12501448234872678,0.15682266423265184,0.030977075212023874,0.1749107577674986,0.00571945421530602,0.36455892733038037,0.017098015334500036
S103,0.1810241008764435,0.3476307694166492,0.06446521702775247,0.3219240952114155,0.019228348577199322,0.31346395118277764,0.019432223842866705
S104,0.06510230949594134,0.16193928900333293,0.13801527644215153,0.023106189585928964,0.05754361171043047,0.0002141821228196882,0.009795308110984401
S105,0.08311222953984516,0.2217130073483427,0.20078765686760783,0.020956481611782086,0.04123948375552166,0.010661281920242344,0.0033154657355742665
S106,0.017562563946175707,0.020490073180162695,0.011980249089024684,0.0043116766020750924,0.04334014306213978,0.003413649302473286,0.021839592441178692
S107,0.047341066435132854,0.12551858340514604,0.13283337228314554,0.004882644110101447,0.006461363370413415,0.011359492300051085,0.0029909431419395736
S108,0.06796941374037323,0.17649463696391673,0.1754118439213774,0.01860422525193477,0.028342536833311217,9.439626401452499e-05,0.008868843207684654
S109,0.15365457288253512,0.4112129869281937,0.4142290980980173,0.0603354524123908,0.01820349680076417,0.012169274350727932,0.005777128705116902
S11,0.15137838900922265,0.13358153633950642,0.35382038255293247,0.2921326609238284,0.030634925559805917,0.08999826739158792,0.008102561287674778
S111,0.0028945983887498756,0.008436968178974377,0.0014364883418976175,0.005626113779005209,0.0001081434974988725,0.00021364590996058482,0.0015462306251625916
S113,0.03992487892104649,0.11589889465804865,0.07796314683696316,0.02529304715534681,0.01670844194843375,0.00017218025001079602,0.003513562677475811
S115,0.03460052301019086,0.10239604079736883,0.08255048771717637,0.010661853515241711,0.0077332743043117165,0.0009999375559804212,0.0032615441710661056
S116,0.14147322495580997,0.08264984036384282,0.3063668754705929,0.011496467724527192,0.025066040314944592,0.41521902380078524,0.008041102060167189
S117,0.07083741723314016,0.17149059355658017,0.14066158156887648,0.00860712450811836,0.08687997073662411,0.013682609562293719,0.0037026234663481
S118,0.018491230181219304,0.03793334854662081,0.05005494424758717,0.01972109321146086,0.0003153296306082869,0.0005371346948872608,0.00238553075615145
S119,0.06749100930273973,0.19578049455114013,0.18099315958378817,0.0033201589352737184,0.018853855394368266,0.004968124370608625,0.0010302629812594148
S12,0.05458803076635669,0.06290458586886864,0.06983072919905094,0.12397945810034991,0.006303190925300588,0.03610656755599025,0.028403652948579848
S120,0.009725539168087742,0.009414514547095467,0.011823330452197923,0.0050276237585755645,0.002491538078969928,0.028750086402171537,0.0008461417695160268
S121,0.1612367277525528,0.42777732731418217,0.03911789516069284,0.014462129805461296,0.005444472700775656,0.4699613909991638,0.010657150535041099
S122,0.06518263096979388,0.00817394826502392,0.08926226851997213,0.005734251634021668,0.09547699707894032,0.18503671335993946,0.007411606960865752
S124,0.02593490687909152,0.005370821163372731,0.0035652192600261192,0.0010873145628275953,0.06820238173058343,0.023898422554306485,0.05348528200343275
S125,0.0658578668911005,0.039297657369295046,0.19393792819383376,0.03261986306049411,0.02725477441328751,0.08658447642834895,0.015452501881343592
S127,0.08942547770433774,0.14102541449418987,0.07102161468753951,0.03341409695464205,0.01653103864980719,0.25844621461422373,0.016114486825624094
S129,0.04774556163314924,0.01870064555322368,0.05514209370298233,0.04214173760157123,0.020631973212597663,0.1431940495694712,0.006662870159049295
S13,0.05493531119456443,0.0415388605380757,0.1000964280134283,0.10275227591850053,0.009984432661312981,0.023981753105315844,0.05125811693075314
S130,0.13268406395136514,0.10342006136051568,0.2764174692935981,0.008835724614999062,0.0026426266779213756,0.3979509004590291,0.006837601302127509
S132,0.03583725876936998,0.06429292300536141,0.0047536082831670795,0.024505112966889574,0.019769939776233852,0.08770600202405271,0.013995966560515256
S135,0.09701181559221594,0.28368478274040254,0.05315817735252027,0.0208562453746531,0.006336849051747352,0.21226491645922563,0.005769922574746686
S136,0.07980081581081454,0.18792607156833904,0.10644857048461583,0.07018964105014844,0.016686369435125588,0.08277474938200977,0.014779492944648611
S137,0.04312114167646224,0.06203622869958368,0.046708977340175095,0.12824560368635995,0.002264212065543597,0.005296123766625769,0.014175704500485352
S138,0.11594355640534303,0.3109791862269369,0.03262147405707267,0.32229552058495653,0.00023846611719326955,0.02327662731750342,0.006250064128395305
S139,0.20467276570565565,0.5629228079233972,0.13507805233248302,0.0030582343389286832,0.013935448155264053,0.5115417716498293,0.0015002798340316213
S14,0.07144250822266977,0.2052064344453547,0.19504217225139342,0.003959914547159296,0.011660389353088009,0.00989902297233801,0.002887115766685229
S140,0.12455467633568078,0.22476498605587233,0.13596695548631896,0.05055263815577163,0.030882349778133623,0.30118753503712425,0.003973593500863787
S141,0.16494384309786675,0.43992480844920884,0.0448483461770698,0.00782506526268062,0.00011537924969377349,0.49457885228326276,0.00237060716528469
S142,0.0789208620976486,0.20326032966280375,0.18292264123132213,0.03091642877548553,0.016005556628498768,0.031044916097428998,0.009375300190352445
S143,0.11527452311761542,0.1247318599877616,0.20761904562121766,0.1938096400715137,0.020773524302190812,0.14021158876596176,0.004501479957046958
S144,0.09856693407174107,0.2869780130542527,0.24284972696489582,0.011034777172389949,0.0414606171289875,0.002083025105275464,0.006995445004644962
S145,0.09855106507025733,0.2867461794296347,0.25942893756223834,0.006017234730080872,0.024148122833736636,0.010966933079133238,0.003998982786720159
S146,0.10296714464668749,0.2775992013920805,0.2572357874749592,0.02406123240631661,0.012250147960304963,0.02124826890977916,0.02540822973668451
