,mean,std
best_val_loss,0.7104891015162812,0.06075260899325111
best_loss,0.7104891015162812,0.06075260899325111
best_img_mae_overall,0.16113075613975525,0.011068141890312057
best_img_mae_CaOx,0.2606171429157257,0.023512914690858033
best_img_mae_CaP,0.2621398657560349,0.0207143338195072
best_img_mae_UA,0.12202924489974976,0.009354064355678201
best_img_mae_MAP,0.056099146604537964,0.007896945217934544
best_img_mae_CYS,0.10476837158203126,0.014185741603787423
best_img_dominant_acc,0.6487452423493033,0.05206482098922146
best_img_dominant_macro_f1,0.43049802290355704,0.09610650524676684
best_img_dominant_f1_CaOx,0.7751480738621102,0.0303305205935043
best_img_dominant_f1_CaP,0.5626630100696681,0.07712483058685807
best_img_dominant_f1_UA,0.4719622878692647,0.1877605147048684
best_img_dominant_f1_MAP,0.0,0.0
best_img_dominant_f1_CYS,0.3427167427167427,0.2365144183435425
best_img_aitchison,11.076555442810058,0.29865682659319454
best_stone_mae_overall,0.15895355641841888,0.011425396816906673
best_stone_mae_CaOx,0.2544349044561386,0.023290080639148513
best_stone_mae_CaP,0.2570781022310257,0.024495942738277165
best_stone_mae_UA,0.12187108844518661,0.008609053787590429
best_stone_mae_MAP,0.0561440035700798,0.007698985567111976
best_stone_mae_CYS,0.10523968935012817,0.013972738879704858
best_stone_dominant_acc,0.6525407925407926,0.06337017510392541
best_stone_dominant_macro_f1,0.42926281929452664,0.10938881317565345
best_stone_dominant_f1_CaOx,0.7781620046620047,0.03660179300065202
best_stone_dominant_f1_CaP,0.5473762010347376,0.1261556492271875
best_stone_dominant_f1_UA,0.47264402264402267,0.1922460160895069
best_stone_dominant_f1_MAP,0.0,0.0
best_stone_dominant_f1_CYS,0.34813186813186814,0.27793987407750975
best_stone_aitchison,11.141584968566894,0.28183774409113377
