fold,best_epoch,best_val_loss,best_loss,best_img_mae_overall,best_img_mae_CaOx,best_img_mae_CaP,best_img_mae_UA,best_img_mae_MAP,best_img_mae_CYS,best_img_dominant_acc,best_img_dominant_macro_f1,best_img_dominant_f1_CaOx,best_img_dominant_f1_CaP,best_img_dominant_f1_UA,best_img_dominant_f1_MAP,best_img_dominant_f1_CYS,best_img_aitchison,best_stone_mae_overall,best_stone_mae_CaOx,best_stone_mae_CaP,best_stone_mae_UA,best_stone_mae_MAP,best_stone_mae_CYS,best_stone_dominant_acc,best_stone_dominant_macro_f1,best_stone_dominant_f1_CaOx,best_stone_dominant_f1_CaP,best_stone_dominant_f1_UA,best_stone_dominant_f1_MAP,best_stone_dominant_f1_CYS,best_stone_aitchison
0,29,0.6773247162097602,0.6773247162097602,0.15036490559577942,0.24556635320186615,0.23966474831104279,0.10989884287118912,0.058716122061014175,0.09797842055559158,0.6751269035532995,0.4954336893455328,0.7835051546391752,0.5984251968503937,0.6666666666666666,0.0,0.42857142857142855,10.831521034240723,0.1470099240541458,0.2376290261745453,0.22755524516105652,0.11100968718528748,0.05844854190945625,0.10040715336799622,0.6515151515151515,0.4876226212811579,0.7384615384615385,0.5853658536585366,0.7142857142857143,0.0,0.4,10.918889045715332
1,26,0.7640563117133247,0.7640563117133247,0.15277758240699768,0.26753371953964233,0.2436593919992447,0.10143483430147171,0.052080437541007996,0.09917957335710526,0.6565656565656566,0.4706341413953646,0.7636363636363637,0.5471698113207547,0.6285714285714286,0.0,0.41379310344827586,10.65579605102539,0.1498631089925766,0.26183223724365234,0.23486755788326263,0.10135578364133835,0.052080411463975906,0.09917958080768585,0.6515151515151515,0.47610389610389614,0.7532467532467533,0.5,0.7272727272727273,0.0,0.4,10.727768898010254
2,29,0.6689900822445826,0.6689900822445826,0.14444538950920105,0.2162594348192215,0.25492629408836365,0.11949669569730759,0.040660448372364044,0.09088405221700668,0.7055837563451777,0.5443125377432991,0.8155339805825242,0.54,0.6818181818181818,0.0,0.6842105263157895,10.581228256225586,0.14389272034168243,0.21384277939796448,0.25473955273628235,0.11914095282554626,0.04099741578102112,0.09074293076992035,0.7575757575757576,0.614661126601425,0.835820895522388,0.6111111111111112,0.8571428571428571,0.0,0.7692307692307693,10.654963493347168
3,17,0.7017567744621864,0.7017567744621864,0.15881603956222534,0.2581602931022644,0.25016388297080994,0.12125586718320847,0.0666830912232399,0.0978170707821846,0.6666666666666666,0.4331837114638225,0.7761194029850746,0.6511627906976745,0.375,0.0,0.36363636363636365,11.346097946166992,0.15482327342033386,0.24716982245445251,0.2432015836238861,0.11924485117197037,0.0666830763220787,0.09781709313392639,0.7076923076923077,0.475501270275552,0.7941176470588235,0.6976744186046512,0.6,0.0,0.2857142857142857,11.374699592590332
4,27,0.7103614006287012,0.7103614006287012,0.14900098741054535,0.252280592918396,0.2394745647907257,0.1177234947681427,0.04260379076004028,0.09292249381542206,0.6564102564102564,0.45551551389786676,0.7873303167420814,0.5142857142857142,0.4375,0.0,0.5384615384615384,10.793496131896973,0.1452062427997589,0.24166889488697052,0.23146213591098785,0.11767539381980896,0.042302243411540985,0.09292250871658325,0.6615384615384615,0.46819776714513556,0.7894736842105263,0.48484848484848486,0.4,0.0,0.6666666666666666,10.935202598571777
