,mean,std
best_val_loss,1.0597314491484833,0.038624240380663574
best_loss,1.0597314491484833,0.038624240380663574
best_img_mae_overall,0.23248332142829894,0.004625118548481195
best_img_mae_CaOx,0.4351742386817932,0.018243005061190556
best_img_mae_CaP,0.33387800455093386,0.011014363916932585
best_img_mae_UA,0.15737987756729127,0.018718304471728363
best_img_mae_MAP,0.07203615382313729,0.005865290738467864
best_img_mae_CYS,0.1639483243227005,0.013908486194684346
best_img_dominant_acc,0.4990315493868794,0.020693921744667505
best_img_dominant_macro_f1,0.15460199902505994,0.02298251263427635
best_img_dominant_f1_CaOx,0.6621125592278638,0.012953309837931767
best_img_dominant_f1_CaP,0.1108974358974359,0.10367022976382066
best_img_dominant_f1_UA,0.0,0.0
best_img_dominant_f1_MAP,0.0,0.0
best_img_dominant_f1_CYS,0.0,0.0
best_img_aitchison,12.294285011291503,0.1558784800912303
best_stone_mae_overall,0.23233851790428162,0.004768545221111599
best_stone_mae_CaOx,0.43492782711982725,0.018115226368521236
best_stone_mae_CaP,0.3338047444820404,0.011294712065027648
best_stone_mae_UA,0.1572255313396454,0.018681449958976647
best_stone_mae_MAP,0.0719891794025898,0.005951707317737625
best_stone_mae_CYS,0.16374528110027314,0.013691827124205757
best_stone_dominant_acc,0.50004662004662,0.020853939472678728
best_stone_dominant_macro_f1,0.1540786079538114,0.02223683778106179
best_stone_dominant_f1_CaOx,0.6626008319768493,0.014307781519691356
best_stone_dominant_f1_CaP,0.1077922077922078,0.09876867905892116
best_stone_dominant_f1_UA,0.0,0.0
best_stone_dominant_f1_MAP,0.0,0.0
best_stone_dominant_f1_CYS,0.0,0.0
best_stone_aitchison,12.298065376281738,0.15709530784884948
