stone_id,mean_std_per_class,std_CaOx,std_CaP,std_UA,std_MAP,std_CYS
S1,0.11617829944436857,0.2858475207584306,0.25260043499975265,0.008883938617905424,0.024652097798970075,0.008907505046784121
S100,0.06699577359355781,0.15583656354056913,0.11786632709084112,0.026111993480571555,0.02291922368870642,0.012244760167100861
S101,0.0630344306048944,0.07718744195329921,0.07201896654237062,0.11474677028956655,0.026822684526392818,0.02439628971284282
S102,0.08420046277589001,0.10367580945641153,0.16844892037354797,0.037490299116766886,0.03713938648740361,0.07424789844532002
S103,0.12590864799012907,0.23652024745226274,0.033125793647616954,0.06552655415955634,0.00644303786347265,0.2879276068277367
S104,0.022927590602409672,0.03151296557090887,0.055319592277489206,0.007093413621481763,0.01781513016484679,0.002896851377321736
S105,0.08348142748119389,0.19067502105790546,0.16962862943456722,0.009966653976789265,0.01897471490274957,0.02816211803395796
S106,0.10537721253150792,0.23420967814982235,0.16530091490036744,0.027900107940020808,0.07433048654623711,0.025144875121091852
S107,0.017386020498014847,0.03819038973990156,0.03391814014331986,0.004910571901779748,0.003926120930768771,0.005984879774304301
S108,0.03224496125223312,0.0503251783506977,0.07303721084230583,0.02989164489752881,0.004504041235554533,0.003466730935078722
S109,0.10613420258530737,0.2516972482117032,0.10753862239606361,0.05496405946033078,0.008218325227468246,0.10825275763097104
S11,0.04000932321251641,0.06953368549708913,0.0624736227137307,0.028567509404738615,0.02837652436850528,0.011095274078518316
S110,0.0470347444969497,0.1168330925925227,0.10371558266967827,0.011004685658186917,0.0021570081034941496,0.0014633534608664736
S111,0.11448578072782996,0.2859037130586893,0.2339043185401147,0.013441892215016394,0.020162299673810016,0.01901668015151942
S113,0.034621778555446986,0.024055157354385584,0.08497810726618049,0.015346906778284672,0.02042166533163267,0.028307056046751527
S115,0.027561540668230126,0.06763379480588465,0.010102534826650912,0.0013441462338241359,0.024045395069735975,0.03468183240505498
S117,0.040356742696219,0.0782341233148936,0.08657282737244715,0.019564262398721687,0.007103008769321118,0.010309491625711419
S119,0.033527882202413116,0.08252093247578131,0.06135525491595291,0.01773179570798488,0.0020344236982528484,0.003997004214093632
S12,0.055429535667658646,0.08090734893753496,0.10483069198695019,0.029762762508673313,0.005410727953873849,0.056236146951260904
S120,0.052686623212138385,0.12006900096763036,0.08507072940793138,0.02602421697593815,0.015185441583110696,0.01708372712608131
S121,0.11493499869435422,0.25630685430363187,0.12810932827140453,0.028235771831828807,0.06510341116998737,0.09691962789491858
S122,0.10051274412216822,0.17638230940705968,0.06992869585936881,0.0782093628708821,0.013430517699361284,0.16461283477416927
S123,0.02539747151183146,0.03963370070020582,0.04898020642120261,0.013266809713680409,0.014678432953663924,0.010428207770404532
S125,0.06641506435167707,0.08972479081970333,0.15342750392214916,0.020167716293276437,0.016176444887801317,0.052578865835455124
S126,0.16968550744240868,0.3842124033113816,0.03546630046783136,0.03242073580781038,0.00501190938076005,0.3913161882442599
S127,0.03900912904665097,0.09182522037278071,0.019280959920337168,0.047266299676047396,0.017367113736021005,0.019306051528068583
S13,0.12735979827936944,0.2607343196341046,0.02903566004872418,0.16143208159578437,0.003264134746603015,0.18233279537163113
S131,0.04635607376043734,0.045768526557966566,0.07846857903119027,0.02060690207325756,0.009549946479160992,0.07738641466061134
S133,0.07306836484516253,0.1800609512374081,0.08354072063475393,0.023887227503930825,0.03731435985414087,0.04053856499557903
S134,0.08541919655789083,0.2117667676237106,0.08748270598221221,0.02640751285918975,0.03247411328711125,0.06896488303723035
S135,0.032737268402319074,0.07249404982426558,0.058345091692675696,0.007445599102321408,0.011396543865990674,0.014005057526342027
S136,0.07320023873376336,0.1823383073401683,0.10727787294400887,0.021948657451836318,0.025472251301808767,0.028964104630994567
S137,0.10471706931281685,0.2554292530189233,0.2272716020322287,0.014394088972325303,0.010229388510858256,0.016261014029748708
S139,0.0831964196373209,0.17940401233086434,0.06165247375325072,0.08399947529189083,0.017192095986503612,0.07373404082409495
S14,0.04352025916030282,0.05907450087160857,0.06026974677868535,0.04223925123578851,0.02767440964262191,0.028343387272809755
S140,0.09405227178568835,0.183982994996217,0.12572440788767,0.10810720012728084,0.016372087052675663,0.0360746688645983
S141,0.12370265196076631,0.2866054900462046,0.23826539089872978,0.030001758496878073,0.04100073802346122,0.022639882338557796
S142,0.09741771206295745,0.23940512778910716,0.129666633053936,0.030348725989492082,0.04423948578565094,0.043428587696601094
S143,0.09010072787432176,0.22326936894664098,0.13677608456923365,0.060984396226531484,0.0145354731815134,0.014938316447689328
S144,0.03522566245957871,0.07970222724198611,0.035502873614543407,0.04720096276161729,0.008130366859032817,0.005591881820713936
S145,0.07107399916780896,0.17647317377612254,0.12181697238314033,0.01998787786761188,0.026273790679159918,0.010818181133010208
S146,0.09568209461900896,0.21768980986679673,0.217622944551823,0.015239769408862089,0.01634495362754694,0.011512995640016066
S147,0.06100645010141563,0.11131427075323765,0.14866433147818553,0.012602085348158236,0.02318065210503298,0.009270910822463797
S148,0.027342807008439256,0.04019348697541137,0.050023664640395774,0.020816614091527016,0.01073817209994189,0.014942097234920236
S15,0.06365443475864799,0.1576412147285045,0.06236488083231446,0.046674548709574146,0.010142756140830291,0.04144877338201656
S150,0.03525559792330031,0.030572759654815245,0.04390491730578319,0.053219540845859184,0.018212221423203265,0.03036855038684067
S151,0.040544987050405344,0.07035422287774319,0.0405117275605932,0.0312521155627543,0.017786674264728217,0.04282019498620783
S152,0.024575330133488324,0.05752295718825145,0.05903385996214654,0.005518028874662696,0.00027250397762293774,0.0005293006647580028
S153,0.029481887329875035,0.03653904095395441,0.03684452352250821,0.058289635992282415,0.004571267988004204,0.011164968192625932
S154,0.018241484171247938,0.0384563288099549,0.01057247407422888,0.03623357661427975,0.0009953721443158848,0.004949669213460283
S155,0.09277636003206792,0.1952283489483357,0.15235780701094626,0.023827426582329864,0.08275293037328771,0.009715287245440065
S156,0.046242755353129814,0.06217151380262409,0.10067550721236392,0.022889475246837952,0.02738164492117465,0.018095635582648446
S158,0.039456359769498094,0.09336840217027068,0.07605774654102128,0.014092686172807454,0.006046084799780747,0.007716879163610304
S159,0.09703126949330412,0.24254321275888685,0.14201925478384556,0.017586718235180564,0.018743492145798072,0.0642636695428096
S16,0.10734525536254469,0.2676355474207353,0.16861913670305678,0.05094590590958537,0.020230337966064,0.029295348813282034
S161,0.02998307733283611,0.07489572997862166,0.06168611060194252,0.008807865640152665,0.00245448935653587,0.0020711910869278412
S162,0.007761885413132444,0.01617757299190026,0.014672850528806144,0.007355410402417813,6.0150139750848424e-05,0.0005434430027871479
S164,0.1264953951812695,0.3159514166427454,0.09639448169091545,0.21069483845817444,0.0014388204687244086,0.007997418645787737
S166,0.07061553117473904,0.13650074239811685,0.02030663052093391,0.108379130387312,0.0005627585570399482,0.08732839401029248
S167,0.11277571225846625,0.1605196821876063,0.21985031906009417,0.061601068483194486,0.0712132056966226,0.05069428586481376
S17,0.007334448511787982,0.018303268404419835,0.00752914913010144,0.009995360244178571,9.792611267204235e-05,0.000746538667568021
S170,0.06750579310102524,0.08548614536205075,0.04299829091283372,0.14397980625336798,0.020111646498290562,0.044953076478583154
S171,0.01863198027110861,0.0054932884885439985,0.012489566307191172,0.04123465111100903,0.0018214381254644573,0.03212095732333439
S172,0.08157342068187412,0.013913509879216742,0.17415713559129,0.1747362377617039,0.009868962650491205,0.03519125752666873
S173,0.025737388805948936,0.06275585761546629,0.05701436642879577,0.006931278532158329,0.0004590424506025038,0.0015263990027218125
S174,0.08097921236870247,0.2010887607078637,0.19107855577449326,0.009708198023448177,0.0010777665839124871,0.001942780753794713
S175,0.018662880345209652,0.042251013241248005,0.03428301976985363,0.01463262417654075,0.0002510263567501447,0.001896718181655725
S177,0.1622478948933649,0.01115292705626067,0.3499812554711464,0.3308194135288446,0.050098120505108236,0.06918775790546468
S178,0.19509521035076532,0.05560840935832212,0.34971969513098206,0.43925142349641166,0.09058136064496054,0.04031516312315033
S18,0.04252722839637217,0.012200226249228606,0.09073963482565571,0.02416133411500148,0.006175104991514315,0.07935984180046074
S180,0.11655245532255695,0.2488321572193606,0.2003001079776994,0.02141489260523315,0.07357555460761572,0.038639564202875974
S181,0.05593456549888219,0.05611664469133774,0.07823727855062904,0.08279795014940539,0.030770124181546562,0.031750829921492245
S182,0.02685374775880956,0.05001632661708865,0.0647899454324976,0.00767694357342451,0.004028492838672452,0.007757030332364606
S183,0.047247256819777976,0.08386872825451581,0.11769653877769766,0.008394123953022572,0.014459700103295791,0.011817193010358041
