stone_id,mean_std_per_class,std_CaOx,std_CHP,std_UA,std_MAP,std_CYS
S1,0.15094808319736686,0.37663246672593415,0.22989051214225759,0.011876307117129076,0.13304666062692305,0.0032944693745904897
S106,0.022561434971992624,0.03462434993106993,0.036623435974963,0.011815668743540387,0.02526475870429071,0.004478961506099092
S107,0.04759853346961591,0.10080984863552352,0.11588366938509752,0.011049912132294063,0.009560418550697156,0.0006888186444672675
S109,0.10460271469893467,0.12478860114547678,0.22917065726190344,0.03860482551679057,0.007941069491440508,0.12250842007906201
S11,0.06742673242398799,0.10439418829903646,0.061688147691919284,0.07555920786034344,0.04797982346072403,0.04751229480791676
S111,0.07866444948119192,0.19398616946577943,0.09286933018350618,0.08720460851302596,0.011030126113078806,0.008232013130569205
S124,0.06263258899851806,0.0903169767768491,0.07871898683919488,0.0023129218542119897,0.031205734228164455,0.11060832529416988
S127,0.07479258293844233,0.12052534526812564,0.036067161481624914,0.03242766613625491,0.015846757374927224,0.16909598443127896
S144,0.051297326214190295,0.12331045923202515,0.1106844634845785,0.002819410233534725,0.004791116819575403,0.014881181301237726
S147,0.045709332756401516,0.08563399091036757,0.015561334636062182,0.036479858298634815,0.08322364521108563,0.007647834725857382
S151,0.03628019305157351,0.07119329925583855,0.07975604501143592,0.01032650950491342,0.002408349716447229,0.017716761769232422
S157,0.06105188068375313,0.0810476062390465,0.031976231802876724,0.01372134285929116,0.034565932770342575,0.14394828974720866
S159,0.09120484910483537,0.22729436716160062,0.12403815723850131,0.052139788095232564,0.04884591455456415,0.0037060184742782063
S162,0.025754582991444164,0.06009127316673658,0.021836783403067512,0.04453683443688764,0.0011783770064095604,0.0011296469441195555
S177,0.15022066743531398,0.018180529895226966,0.2957909577508609,0.22775670737194437,0.07406802382362591,0.13530711833491194
S185,0.0011860633029909234,0.0025517136468200152,0.001424638583493469,0.0019047261723706694,3.6691861184634848e-06,4.556892615199983e-05
S195,0.046460958096561984,0.09600503930762325,0.08314459540382568,0.010627133413729473,0.02858645365041149,0.013941568707220025
