,mean,std
best_val_loss,0.703604289413082,0.03756631727684652
best_loss,0.703604289413082,0.03756631727684652
best_img_mae_overall,0.1510319620370865,0.00565868562575025
best_img_mae_CaOx,0.24571363627910614,0.016576515605216002
best_img_mae_CaP,0.24781939685344695,0.006821325707806986
best_img_mae_UA,0.11413154304027558,0.006410474668549504
best_img_mae_MAP,0.0527365505695343,0.011123356701364604
best_img_mae_CYS,0.09475868940353394,0.0034528855918859675
best_img_dominant_acc,0.6720187426786411,0.0295115490268129
best_img_dominant_macro_f1,0.4817183294556995,0.05203590171258863
best_img_dominant_f1_CaOx,0.7827597603634409,0.024723706221610898
best_img_dominant_f1_CaP,0.5791668304095925,0.048817032307454225
best_img_dominant_f1_UA,0.5629194687598762,0.14730742050512036
best_img_dominant_f1_MAP,0.0,0.0
best_img_dominant_f1_CYS,0.48374558774558774,0.13727685258427128
best_img_aitchison,10.841086387634277,0.3158735936373656
best_stone_mae_overall,0.1481087327003479,0.004588806730289252
best_stone_mae_CaOx,0.23847889602184297,0.013636849777305568
best_stone_mae_CaP,0.24063487350940704,0.010760039798513683
best_stone_mae_UA,0.11349429488182068,0.005808868636163626
best_stone_mae_MAP,0.05273523777723312,0.01100210105802185
best_stone_mae_CYS,0.09520035684108734,0.0035180979488307167
best_stone_dominant_acc,0.7042424242424243,0.027904639104707807
best_stone_dominant_macro_f1,0.5118845482433507,0.0486900975687095
best_stone_dominant_f1_CaOx,0.8045442863382988,0.02131976327998988
best_stone_dominant_f1_CaP,0.6136507936507937,0.07144267938277353
best_stone_dominant_f1_UA,0.619127539127539,0.14772492598988735
best_stone_dominant_f1_MAP,0.0,0.0
best_stone_dominant_f1_CYS,0.522100122100122,0.19359242931173704
best_stone_aitchison,10.924342918395997,0.29423538431600754
