,mean,std
best_val_loss,0.6359685365757691,0.02513003250178852
best_loss,0.6359685365757691,0.02513003250178852
best_accuracy,0.6659041887221486,0.03578789216216328
best_precision,0.6867062483446343,0.03212035571534517
best_recall,0.8170345217883419,0.04496707165249509
best_f1,0.7456516407649922,0.02979312353413732
best_roc_auc,0.6990746435518242,0.02642679521068456
best_stone_accuracy,0.6992313067784766,0.04010292160779406
best_stone_precision,0.702514619883041,0.04119466939504195
best_stone_recall,0.867741935483871,0.047079958608748335
best_stone_f1,0.7752642055541807,0.028234176294995257
best_stone_roc_auc,0.7240072091886608,0.03443999903621479
