,mean,std
best_val_loss,0.7077015681972603,0.06333465575427755
best_loss,0.7077015681972603,0.06333465575427755
best_img_mae_overall,0.16198220252990722,0.011368898805871386
best_img_mae_CaOx,0.2626423180103302,0.022641204796167762
best_img_mae_CaP,0.2635098993778229,0.022846235820545766
best_img_mae_UA,0.12219983637332917,0.009825187685587633
best_img_mae_MAP,0.056830289959907535,0.00779042364080115
best_img_mae_CYS,0.10472866296768188,0.014925036198703383
best_img_dominant_acc,0.6548625655224639,0.056038942418164296
best_img_dominant_macro_f1,0.44256538767696607,0.09801056398018726
best_img_dominant_f1_CaOx,0.7779696871938251,0.03469735091613177
best_img_dominant_f1_CaP,0.5649238715682806,0.07933465179010234
best_img_dominant_f1_UA,0.5106497159180086,0.18327942309073517
best_img_dominant_f1_MAP,0.0,0.0
best_img_dominant_f1_CYS,0.3592836637047163,0.24547156843631807
best_img_aitchison,11.097561645507813,0.3046673639281809
best_stone_mae_overall,0.1599515438079834,0.01175522795663205
best_stone_mae_CaOx,0.25699659883975984,0.022526454463483305
best_stone_mae_CaP,0.2587705761194229,0.026327758364018065
best_stone_mae_UA,0.12196114361286163,0.009320360979712627
best_stone_mae_MAP,0.0568959541618824,0.007577731867294051
best_stone_mae_CYS,0.10513342171907425,0.014648505514235745
best_stone_dominant_acc,0.6677855477855478,0.08588888002858142
best_stone_dominant_macro_f1,0.4522639129212605,0.13400378461694734
best_stone_dominant_f1_CaOx,0.7844001425649291,0.05244099313125698
best_stone_dominant_f1_CaP,0.5629500580720093,0.14838025327304774
best_stone_dominant_f1_UA,0.5239260739260739,0.2512929625870081
best_stone_dominant_f1_MAP,0.0,0.0
best_stone_dominant_f1_CYS,0.39004329004329,0.3140706812108334
best_stone_aitchison,11.161081314086914,0.2875495246143686
