fold,best_epoch,best_val_loss,best_loss,best_accuracy,best_macro_f1,best_stone_accuracy,best_stone_macro_f1,best_stone_f1_CaOx,best_stone_f1_CHP,best_stone_f1_UA,best_stone_f1_MAP,best_stone_f1_CYS
0,5,1.6257059015805209,1.6257059015805209,0.15822784810126583,0.13943041695172273,0.20754716981132076,0.1800662083015024,0.0,0.36363636363636365,0.11764705882352941,0.13333333333333333,0.2857142857142857
1,8,1.5515900972561958,1.5515900972561958,0.21153846153846154,0.1566293516693919,0.32075471698113206,0.29959714198844634,0.4090909090909091,0.3076923076923077,0.3076923076923077,0.0,0.17391304347826086
2,5,1.6775701543952846,1.6775701543952846,0.17088607594936708,0.1702643640708157,0.18867924528301888,0.17482456140350874,0.3157894736842105,0.125,0.1,0.0,0.3333333333333333
3,5,1.6111975462205947,1.6111975462205947,0.1870967741935484,0.17595280995280996,0.17307692307692307,0.15865800865800864,0.09090909090909091,0.0,0.4166666666666667,0.14285714285714285,0.14285714285714285
4,6,1.6119938324659298,1.6119938324659298,0.3333333333333333,0.18993851159456254,0.40384615384615385,0.2151412429378531,0.5423728813559322,0.3333333333333333,0.0,0.0,0.2
