fold,best_epoch,best_val_loss,best_loss,best_img_mae_overall,best_img_mae_CaOx,best_img_mae_CaP,best_img_mae_UA,best_img_mae_MAP,best_img_mae_CYS,best_img_dominant_acc,best_img_dominant_macro_f1,best_img_dominant_f1_CaOx,best_img_dominant_f1_CaP,best_img_dominant_f1_UA,best_img_dominant_f1_MAP,best_img_dominant_f1_CYS,best_img_aitchison,best_stone_mae_overall,best_stone_mae_CaOx,best_stone_mae_CaP,best_stone_mae_UA,best_stone_mae_MAP,best_stone_mae_CYS,best_stone_dominant_acc,best_stone_dominant_macro_f1,best_stone_dominant_f1_CaOx,best_stone_dominant_f1_CaP,best_stone_dominant_f1_UA,best_stone_dominant_f1_MAP,best_stone_dominant_f1_CYS,best_stone_aitchison
0,29,0.6736576132060308,0.6736576132060308,0.1498439759016037,0.24850346148014069,0.2393081784248352,0.1077994555234909,0.05985138937830925,0.09375736862421036,0.6700507614213198,0.49424097879106366,0.7777777777777778,0.5806451612903226,0.6842105263157895,0.0,0.42857142857142855,10.81794548034668,0.14662250876426697,0.24140293896198273,0.22732949256896973,0.1086638942360878,0.059581417590379715,0.09613477438688278,0.6818181818181818,0.5069699123430468,0.7761194029850746,0.6,0.7142857142857143,0.0,0.4444444444444444,10.905808448791504
1,24,0.763350546962083,0.763350546962083,0.15207095444202423,0.2527971863746643,0.24905019998550415,0.10854944586753845,0.05310359597206116,0.0968543291091919,0.6666666666666666,0.4825347966556123,0.7632850241545893,0.6017699115044248,0.6190476190476191,0.0,0.42857142857142855,10.658939361572266,0.14878031611442566,0.24663561582565308,0.2400234341621399,0.10728462785482407,0.05310359224677086,0.0968543216586113,0.696969696969697,0.5056829868097473,0.7887323943661971,0.6285714285714286,0.6666666666666666,0.0,0.4444444444444444,10.738697052001953
2,29,0.6695925723477668,0.6695925723477668,0.14328037202358246,0.21655288338661194,0.25678446888923645,0.11335641890764236,0.040493130683898926,0.0892149806022644,0.7208121827411168,0.5612596465023649,0.8252427184466019,0.5631067961165048,0.7,0.0,0.717948717948718,10.529545783996582,0.14269205927848816,0.21441060304641724,0.2563111484050751,0.11281181871891022,0.0408807247877121,0.0890459269285202,0.7424242424242424,0.5946204122674711,0.8235294117647058,0.6111111111111112,0.7692307692307693,0.0,0.7692307692307693,10.615401268005371
3,17,0.7031779546004076,0.7031779546004076,0.1591232270002365,0.2569085657596588,0.2508741617202759,0.12292686104774475,0.06701108068227768,0.097895547747612,0.6615384615384615,0.4393553859202714,0.7676767676767676,0.6412213740458015,0.42424242424242425,0.0,0.36363636363636365,11.359094619750977,0.15527492761611938,0.24657763540744781,0.2441376894712448,0.12075275927782059,0.06701108068227768,0.09789551049470901,0.7230769230769231,0.47379679144385023,0.8235294117647058,0.7142857142857143,0.5454545454545454,0.0,0.2857142857142857,11.386327743530273
4,27,0.7082427599491217,0.7082427599491217,0.15084128081798553,0.25380608439445496,0.24307997524738312,0.1180255338549614,0.043223556131124496,0.09607122093439102,0.6410256410256411,0.431200839409185,0.7798165137614679,0.509090909090909,0.3870967741935484,0.0,0.48,10.839906692504883,0.14717385172843933,0.24336768686771393,0.2353726029396057,0.11795837432146072,0.04309937357902527,0.09607125073671341,0.676923076923077,0.4783526383526383,0.8108108108108109,0.5142857142857142,0.4,0.0,0.6666666666666666,10.975480079650879
