fold,best_epoch,best_val_loss,best_loss,best_accuracy,best_precision,best_recall,best_f1,best_roc_auc,best_stone_accuracy,best_stone_precision,best_stone_recall,best_stone_f1,best_stone_roc_auc
0,8,0.6130771291255951,0.6130771291255951,0.645,0.6851851851851852,0.6666666666666666,0.6757990867579908,0.7097884401255187,0.7014925373134329,0.7073170731707317,0.7837837837837838,0.7435897435897436,0.7297297297297298
1,19,0.6293474827149902,0.6293474827149902,0.6565656565656566,0.7009345794392523,0.6756756756756757,0.6880733944954128,0.7045666356011183,0.6515151515151515,0.6944444444444444,0.6756756756756757,0.684931506849315,0.7278657968313141
2,11,0.581966304718846,0.581966304718846,0.7171717171717171,0.7522935779816514,0.7387387387387387,0.7454545454545455,0.7701149425287357,0.7272727272727273,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7968313140726934
3,12,0.6197466230151629,0.6197466230151629,0.6565656565656566,0.7590361445783133,0.5675675675675675,0.6494845360824743,0.7367712540126332,0.6666666666666666,0.7777777777777778,0.5675675675675675,0.65625,0.7483690587138863
4,13,0.6185886381250439,0.6185886381250439,0.696969696969697,0.7741935483870968,0.6486486486486487,0.7058823529411765,0.7263125194159678,0.6666666666666666,0.7586206896551724,0.5945945945945946,0.6666666666666666,0.7511649580615097
